,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,rescheduling_time,pricing_time
0,72440.0,2200850.0,0.63,35553201.3,35553201.3,0.0,1.0,0.0,0.0
1,63753.42177369246,2200849.999999999,0.72,32076348.5,31942007.9,134340.59999999998,0.12699999999999997,11.08999999999999,0.002608060836791992
2,58570.37561318953,2200849.9999999995,0.78,31397839.333,31333727.69,64111.643,0.09499999999999999,11.019999999999989,0.0019898414611816406
3,55876.34220630557,2200850.0,0.82,31236357.392779,31213365.54,22991.852779,0.047,11.669999999999993,0.0011799335479736328
4,54558.79101863194,2200850.0,0.84,31175977.755533304,31163771.16,12206.595533304,0.024,12.139999999999993,0.0007810592651367188
5,53170.946385038646,2200849.9999999995,0.86,31137622.008516133,31125435.98,12186.028516134098,0.026000000000000002,11.91999999999999,0.0007779598236083984
6,52598.96897480322,2200850.000000001,0.87,31118541.773686323,31113292.42,5249.3536863225245,0.011,12.059999999999999,0.0006930828094482422
7,52033.283316080386,2200850.0000000005,0.88,31107072.49710945,31102087.84,4984.6571094504525,0.011,12.03,0.0009100437164306641
8,51473.8201996035,2200850.0,0.89,31098304.728771795,31093955.16,4349.568771796045,0.011,12.189999999999994,0.0005908012390136719
9,50920.51117740786,2200850.0,0.9,31090422.834743507,31085827.58,4595.254743510243,0.011,12.009999999999996,0.0005650520324707031
10,50920.51117740786,2200850.0,0.9,31090422.834743507,31085827.58,4595.254743510243,0.0,11.689999999999996,0.0003712177276611328
