,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.069,9,100,10,10,piece-wise,120648,663551.0,-4.5,1.57,8.63,-4.497,66548483.7,353525348.8,-4.312,66548483.7,352405048.8,-4.295
heuristic_fw,0.001,9,100,10,10,piece-wise,120648,87201.92434586646,0.277,1.57,1.13,0.28,66548483.7,52888900.07127535,0.205,66548483.7,52877818.42,0.205
