repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,2.577,3,5,1,piece-wise,29360,28240.0,3.80%,3.77,3.62,4.00%,6137188.8,5239850.0,14.60%,6137188.8,5239850.0,14.60%
0,20,optimal_fw,0.003,3,5,1,piece-wise,29360,16796.97475938315,42.80%,3.77,2.15,43.00%,6137188.8,5240745.200792,14.60%,6137188.8,5240687.89,14.60%
0,20,heuristic,0.001,3,5,1,piece-wise,29360,28760.0,2.00%,3.77,3.69,2.10%,6137188.8,5239850.0,14.60%,6137188.8,5239850.0,14.60%
0,20,heuristic_fw,0.002,3,5,1,piece-wise,29360,16043.314319108076,45.40%,3.77,2.06,45.40%,6137188.8,5240423.731364001,14.60%,6137188.8,5240327.53,14.60%
1,20,optimal,2.677,3,5,1,piece-wise,36740,36700.0,0.10%,4.8,4.8,0.00%,5757776.4,5141458.0,10.70%,5757776.4,5141458.0,10.70%
1,20,optimal_fw,0.001,3,5,1,piece-wise,36740,22805.846317480304,37.90%,4.8,2.98,37.90%,5757776.4,5145234.14896,10.60%,5757776.4,5145236.62,10.60%
1,20,heuristic,0.0,3,5,1,piece-wise,36740,36700.0,0.10%,4.8,4.8,0.00%,5757776.4,5141545.0,10.70%,5757776.4,5141458.0,10.70%
1,20,heuristic_fw,0.001,3,5,1,piece-wise,36740,22805.846317480304,37.90%,4.8,2.98,37.90%,5757776.4,5145244.263119999,10.60%,5757776.4,5145247.85,10.60%
0,40,optimal,4.6,3,5,1,piece-wise,53755,45297.0,15.70%,3.76,3.17,15.70%,10530329.0,9617146.0,8.70%,10530329.0,9617146.0,8.70%
0,40,optimal_fw,0.001,3,5,1,piece-wise,53755,32256.013626123295,40.00%,3.76,2.25,40.20%,10530329.0,9619648.82875,8.60%,10530329.0,9619647.0,8.60%
0,40,heuristic,0.0,3,5,1,piece-wise,53755,45342.0,15.70%,3.76,3.17,15.70%,10530329.0,9617218.0,8.70%,10530329.0,9617146.0,8.70%
0,40,heuristic_fw,0.001,3,5,1,piece-wise,53755,30599.78885257455,43.10%,3.76,2.14,43.10%,10530329.0,9619078.916439999,8.70%,10530329.0,9619088.11,8.70%
1,40,optimal,8.055,4,5,1,piece-wise,41532,66918.0,-61.10%,2.5,4.03,-61.20%,12163845.9,11157323.0,8.30%,12163845.9,11157064.0,8.30%
1,40,optimal_fw,0.002,4,5,1,piece-wise,41532,26828.50235983062,35.40%,2.5,1.62,35.20%,12163845.9,11173830.949240705,8.10%,12163845.9,11173805.88,8.10%
1,40,heuristic,0.0,3,5,1,piece-wise,41532,48325.0,-16.40%,2.5,2.91,-16.40%,12163845.9,11157295.0,8.30%,12163845.9,11157034.0,8.30%
1,40,heuristic_fw,0.002,3,5,1,piece-wise,41532,25432.083206028845,38.80%,2.5,1.53,38.80%,12163845.9,11169894.8586,8.20%,12163845.9,11169881.74,8.20%
0,60,optimal,11.315,6,5,1,piece-wise,47369,97757.0,-106.40%,1.88,3.87,-105.90%,19439445.8,16964559.0,12.70%,19439445.8,16963632.0,12.70%
0,60,optimal_fw,0.002,6,5,1,piece-wise,47369,31410.87926722759,33.70%,1.88,1.24,34.00%,19439445.8,17013485.24232502,12.50%,19439445.8,17013477.26,12.50%
0,60,heuristic,0.001,6,5,1,piece-wise,47369,111499.0,-135.40%,1.88,4.42,-135.10%,19439445.8,16965249.0,12.70%,19439445.8,16963632.0,12.70%
0,60,heuristic_fw,0.002,6,5,1,piece-wise,47369,32166.893021157124,32.10%,1.88,1.27,32.40%,19439445.8,17019304.492672514,12.40%,19439445.8,17019291.47,12.40%
1,60,optimal,9.093,4,5,1,piece-wise,57626,85639.0,-48.60%,2.37,3.52,-48.50%,17413100.2,16330261.0,6.20%,17413100.2,16330171.0,6.20%
1,60,optimal_fw,0.002,4,5,1,piece-wise,57626,36757.63132321667,36.20%,2.37,1.51,36.30%,17413100.2,16352566.180204364,6.10%,17413100.2,16352548.07,6.10%
1,60,heuristic,0.001,8,5,1,piece-wise,57626,62858.0,-9.10%,2.37,2.59,-9.30%,17413100.2,16330486.0,6.20%,17413100.2,16330186.0,6.20%
1,60,heuristic_fw,0.001,8,5,1,piece-wise,57626,36978.84779316382,35.80%,2.37,1.52,35.90%,17413100.2,16355213.893428858,6.10%,17413100.2,16355207.95,6.10%
