,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.068,10,100,10,10,piece-wise,134392,470743.0,-2.503,1.66,5.83,-2.512,66842796.0,344362893.0,-4.152,66842796.0,342842693.0,-4.129
heuristic_fw,0.001,10,100,10,10,piece-wise,134392,93986.76239529542,0.301,1.66,1.16,0.301,66842796.0,55130135.55934078,0.175,66842796.0,55111699.1,0.176
