,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,82.095,67.944,47.131,34.036,66.638,78.319,43.057,43.642,45.873,65.171,85.817,95.392,66.589,119.665,78.741,45.875,94.581,106.042,71.253,48.359,68.41,58.435,75.44,72.093,86.281,88.346,84.617,70.3,59.468,103.409,116.975,105.581,90.078,72.265,101.731,104.563,81.865,80.481,69.952,61.112,64.58,68.323,48.701,53.562,20.188,39.309,36.916,47.015
1,0.96,11.948,108.928,87.436,104.424,2.213,68.377,86.84,168.281,271.025,0.976,0.296,62.607,0.004,9.439,57.883,0.314,0.01,75.583,235.394,141.646,258.29,5.573,23.563,0.759,0.247,3.91,115.482,296.592,0.085,0.029,0.021,1.754,48.603,0.01,0.022,5.531,3.258,49.62,494.518,278.982,8.088,86.021,61.762,27.088,44.231,63.861,43.732
2,2.256,94.099,79.331,82.036,7.338,25.669,129.405,180.941,251.064,1.229,2.204,2.784,90.257,0.004,72.312,150.726,1.249,0.077,65.997,184.158,11.36,9.935,188.203,397.668,25.546,0.968,9.343,24.04,4.175,0.078,0.016,0.134,8.975,126.481,0.418,0.114,10.004,91.717,46.272,0.003,1.083,490.318,278.921,94.638,20.726,44.351,63.861,43.732
3,5.856,98.299,79.631,84.136,115.538,24.469,149.657,244.322,33.613,8.856,20.53,5.403,93.773,0.028,117.891,313.824,2.659,0.626,24.127,7.713,98.68,116.374,10.71,0.246,3.935,15.909,226.503,213.829,17.602,1.075,0.074,0.369,17.51,49.952,2.181,1.129,43.771,53.658,282.659,0.123,1.573,0.191,357.486,259.976,57.818,44.339,63.861,43.732
4,54.756,86.799,82.631,70.836,13.338,221.569,346.357,32.292,18.603,3.266,44.74,18.423,70.147,0.069,10.046,48.157,7.131,1.695,160.923,158.608,133.81,10.179,42.86,1.716,155.006,167.777,2.928,3.647,39.686,3.724,0.303,2.933,164.798,126.281,8.911,2.359,92.71,93.562,3.262,0.589,5.572,1.289,0.033,8.325,454.357,287.796,107.67,43.747
5,34.856,7.849,91.831,96.896,135.074,2.333,1.047,154.392,231.073,55.071,245.065,43.0,13.359,0.94,33.326,81.755,137.255,3.722,10.363,6.929,4.01,200.735,261.46,20.213,7.041,13.946,8.567,19.49,183.408,44.336,1.07,11.871,6.086,9.163,8.008,28.383,144.37,8.641,11.502,2.302,36.12,1.426,1.166,521.862,278.43,88.863,63.879,43.732
6,48.756,79.399,91.531,178.186,340.824,1.133,3.007,3.142,15.473,55.971,48.317,53.128,51.714,1.794,84.451,142.905,241.511,3.982,12.753,6.059,6.31,59.735,25.84,21.093,19.581,15.546,21.567,124.26,277.344,10.892,1.364,12.723,10.178,11.465,128.516,6.833,107.745,90.691,23.702,2.714,38.184,1.69,1.576,1.112,501.678,286.903,99.191,43.747
7,54.756,85.599,97.131,125.136,3.738,10.869,3.657,241.792,441.673,47.871,28.317,27.392,26.689,2.105,89.501,101.675,5.181,11.842,152.153,36.559,19.01,34.835,40.24,16.513,53.561,23.346,84.717,29.84,30.27,37.324,1.84,39.347,44.291,153.904,10.041,32.563,89.015,17.531,18.602,6.292,230.178,5.873,1.621,1.202,4.828,407.981,307.583,80.232
8,55.756,96.999,147.431,229.436,13.738,21.869,2.307,3.742,11.873,45.071,31.817,134.192,387.264,2.03,14.101,22.475,5.981,99.942,108.453,108.359,5.11,14.685,81.29,82.013,166.561,7.546,20.617,8.29,41.52,146.896,1.768,25.703,10.014,22.683,9.478,192.463,124.915,70.183,49.755,3.24,82.58,10.623,3.601,1.362,9.288,69.731,420.861,190.604
9,60.556,111.399,192.831,314.336,13.738,20.869,3.307,8.542,24.873,59.471,50.517,59.892,54.039,2.415,117.441,143.675,7.781,19.542,14.053,7.059,131.51,187.135,264.86,13.513,15.441,23.146,29.317,41.64,8.418,15.244,3.3,140.016,29.293,32.465,129.231,28.863,12.565,90.981,63.752,6.54,79.18,10.723,1.621,30.342,13.988,74.231,453.061,199.504
10,40.856,38.249,184.231,232.286,18.138,16.969,8.157,204.792,43.673,32.371,31.817,41.212,33.639,2.395,70.641,62.575,99.381,109.442,88.153,126.359,6.11,14.535,12.44,21.293,21.481,242.896,195.967,22.7,5.668,63.144,18.59,18.365,5.065,123.244,22.681,9.713,144.815,91.131,54.352,3.24,57.08,61.223,1.621,20.542,13.988,74.231,418.861,185.904
11,34.856,20.249,166.831,227.586,18.138,22.319,13.857,6.442,18.473,319.471,81.017,49.392,34.039,2.915,43.341,44.875,84.981,100.042,55.853,62.259,87.01,10.335,5.34,165.593,197.281,22.246,30.267,83.39,13.968,115.744,26.25,25.531,19.378,23.165,39.331,156.413,19.015,57.981,51.452,6.54,64.08,67.123,9.801,21.662,12.988,69.631,417.061,190.704
12,59.556,103.599,223.231,369.736,9.738,23.319,15.857,11.242,27.873,56.771,47.817,58.392,53.789,6.465,78.541,96.275,92.381,8.142,70.353,63.859,134.31,171.535,14.34,20.093,19.581,26.946,67.867,157.84,8.568,11.059,3.985,115.201,45.508,193.113,204.813,16.131,80.167,95.381,74.052,3.312,66.88,66.023,42.301,27.562,13.888,19.231,92.061,147.532
