,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,761.767,10,5000,5,500,piece-wise,2449363,10661915.0,-3.353,1.22,5.3,-3.344,1641650390.2,74344685346.1,-44.287,1641650390.2,74241993346.1,-44.224
optimal_fw,0.013,10,5000,5,500,piece-wise,2449363,2157249.710577965,0.119,1.22,1.07,0.123,1641650390.2,1493220911.0840664,0.09,1641650390.2,1493111589.87,0.09
heuristic,2.34,10,5000,5,500,piece-wise,2449363,8007910.0,-2.269,1.22,3.98,-2.262,1641650390.2,65955032959.1,-39.176,1641650390.2,65820457459.1,-39.094
heuristic_fw,0.013,10,5000,5,500,piece-wise,2449363,2156165.4573449646,0.12,1.22,1.07,0.123,1641650390.2,1495107550.2120008,0.089,1641650390.2,1494979089.7,0.089
