noh,name,demand,estart,pstart,lfinish,dur,caf,astart
8142,0,7.26,0,106,143,4,0.2,106
8142,1,3.88,0,62,143,3,0.2,62
8142,2,2.25,0,57,143,2,0.2,57
8142,3,1.81,0,61,143,4,0.6,61
8142,4,0.54,0,110,143,7,0.6,110
8142,5,1.0513,0,0,143,3,1,0
8142,6,0.9915,0,3,143,3,1,3
8142,7,0.936766667,0,6,143,3,1,6
8142,8,0.916433333,0,9,143,3,1,9
8142,9,0.926933333,0,12,143,3,1,12
8142,10,0.878133333,0,15,143,3,1,15
8142,11,0.8986,0,18,143,3,1,18
8142,12,0.3971,0,21,143,3,1,21
8142,13,0.838733333,0,24,143,3,1,24
8142,14,0.821633333,0,27,143,3,1,27
8142,15,0.413133333,0,30,143,3,1,30
8142,16,0.781333333,0,33,143,3,1,33
8142,17,0.410633333,0,36,143,3,1,36
8142,18,0.763766667,0,39,143,3,1,39
8142,19,0.390066667,0,42,143,3,1,42
8142,20,0.778433333,0,45,143,3,1,45
8142,21,0.379433333,0,48,143,3,1,48
8142,22,0.3046,0,51,143,3,1,51
8142,23,0.377833333,0,54,143,3,1,54
8142,24,0.314033333,0,57,143,3,1,57
8142,25,0.3771,0,60,143,3,1,60
8142,26,0.402266667,0,63,143,3,1,63
8142,27,0.413966667,0,66,143,3,1,66
8142,28,0.4369,0,69,143,3,1,69
8142,29,0.376633333,0,72,143,3,1,72
8142,30,0.5764,0,75,143,3,1,75
8142,31,0.6403,0,78,143,3,1,78
8142,32,1.020033333,0,81,143,3,1,81
8142,33,0.9584,0,84,143,3,1,84
8142,34,1.061133333,0,87,143,3,1,87
8142,35,1.048333333,0,90,143,3,1,90
8142,36,1.825433333,0,93,143,3,1,93
8142,37,1.249066667,0,96,143,3,1,96
8142,38,1.280466667,0,99,143,3,1,99
8142,39,1.782466667,0,102,143,3,1,102
8142,40,1.416966667,0,105,143,3,1,105
8142,41,1.7291,0,108,143,3,1,108
8142,42,1.083266667,0,111,143,3,1,111
8142,43,1.0242,0,114,143,3,1,114
8142,44,1.0683,0,117,143,3,1,117
8142,45,0.9606,0,120,143,3,1,120
8142,46,1.285066667,0,123,143,3,1,123
8142,47,2.273333333,0,126,143,3,1,126
8142,48,1.9046,0,129,143,3,1,129
8142,49,1.572633333,0,132,143,3,1,132
8142,50,1.390233333,0,135,143,3,1,135
8142,51,0.955033333,0,138,143,3,1,138
8142,52,0.934966667,0,141,143,3,1,141
1086,0,0.03,0,128,143,6,0.1,128
1086,1,0.02,0,141,143,3,0.4,141
1086,2,0.4428,0,0,143,3,1,0
1086,3,2.173833333,0,3,143,3,1,3
1086,4,0.991966667,0,6,143,3,1,6
1086,5,0.4335,0,9,143,3,1,9
1086,6,0.447133333,0,12,143,3,1,12
1086,7,2.2432,0,15,143,3,1,15
1086,8,0.570633333,0,18,143,3,1,18
1086,9,0.407,0,21,143,3,1,21
1086,10,0.4197,0,24,143,3,1,24
1086,11,0.5279,0,27,143,3,1,27
1086,12,2.222366667,0,30,143,3,1,30
1086,13,0.427666667,0,33,143,3,1,33
1086,14,0.4688,0,36,143,3,1,36
1086,15,0.498433333,0,39,143,3,1,39
1086,16,2.105866667,0,42,143,3,1,42
1086,17,0.508033333,0,45,143,3,1,45
1086,18,0.5503,0,48,143,3,1,48
1086,19,0.479033333,0,51,143,3,1,51
1086,20,0.422833333,0,54,143,3,1,54
1086,21,0.420433333,0,57,143,3,1,57
1086,22,0.433966667,0,60,143,3,1,60
1086,23,0.463033333,0,63,143,3,1,63
1086,24,0.42,0,66,143,3,1,66
1086,25,0.562833333,0,69,143,3,1,69
1086,26,0.590833333,0,72,143,3,1,72
1086,27,0.6686,0,75,143,3,1,75
1086,28,0.538733333,0,78,143,3,1,78
1086,29,0.4973,0,81,143,3,1,81
1086,30,0.5379,0,84,143,3,1,84
1086,31,0.4935,0,87,143,3,1,87
1086,32,0.4805,0,90,143,3,1,90
1086,33,0.469733333,0,93,143,3,1,93
1086,34,2.367866667,0,96,143,3,1,96
1086,35,2.628666667,0,99,143,3,1,99
1086,36,2.614966667,0,102,143,3,1,102
1086,37,2.616966667,0,105,143,3,1,105
1086,38,3.028166667,0,108,143,3,1,108
1086,39,0.9778,0,111,143,3,1,111
1086,40,1.923766667,0,114,143,3,1,114
1086,41,2.244533333,0,117,143,3,1,117
1086,42,0.7594,0,120,143,3,1,120
1086,43,0.813,0,123,143,3,1,123
1086,44,2.2849,0,126,143,3,1,126
1086,45,1.2579,0,129,143,3,1,129
1086,46,1.691533333,0,132,143,3,1,132
1086,47,0.4929,0,135,143,3,1,135
1086,48,2.140366667,0,138,143,3,1,138
1086,49,2.236866667,0,141,143,3,1,141
1103,0,0,0,0,143,3,1,0
1103,1,0,0,3,143,3,1,3
1103,2,0,0,6,143,3,1,6
1103,3,0,0,9,143,3,1,9
1103,4,0,0,12,143,3,1,12
1103,5,0,0,15,143,3,1,15
1103,6,0,0,18,143,3,1,18
1103,7,0,0,21,143,3,1,21
1103,8,0,0,24,143,3,1,24
1103,9,0,0,27,143,3,1,27
1103,10,0,0,30,143,3,1,30
1103,11,0,0,33,143,3,1,33
1103,12,0,0,36,143,3,1,36
1103,13,0,0,39,143,3,1,39
1103,14,0,0,42,143,3,1,42
1103,15,0,0,45,143,3,1,45
1103,16,0,0,48,143,3,1,48
1103,17,0,0,51,143,3,1,51
1103,18,0,0,54,143,3,1,54
1103,19,0,0,57,143,3,1,57
1103,20,0,0,60,143,3,1,60
1103,21,0,0,63,143,3,1,63
1103,22,0,0,66,143,3,1,66
1103,23,0,0,69,143,3,1,69
1103,24,0,0,72,143,3,1,72
1103,25,1.111866667,0,75,143,3,1,75
