,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.072,5,100,10,10,piece-wise,155767,215063.0,-0.381,2.06,2.85,-0.383,62567014.2,83339933.8,-0.332,62567014.2,83121433.8,-0.329
heuristic_fw,0.002,5,100,10,10,piece-wise,155767,93426.31025712263,0.4,2.06,1.24,0.398,62567014.2,50944294.833962604,0.186,62567014.2,50941165.21,0.186
