repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,1.6,7,5,0,piece-wise,26422,222117.0,-740.70%,3.11,26.18,-741.80%,6286590.6,5701444.0,9.30%,6286590.6,5701444.0,9.30%
0,20,optimal_fw,0.001,7,5,0,piece-wise,26422,20312.954144320207,23.10%,3.11,2.39,23.20%,6286590.6,5737184.58,8.70%,6286590.6,5737184.58,8.70%
0,20,heuristic,0.001,4,5,0,piece-wise,26422,42500.0,-60.90%,3.11,5.01,-61.10%,6286590.6,5701444.0,9.30%,6286590.6,5701444.0,9.30%
0,20,heuristic_fw,0.002,4,5,0,piece-wise,26422,15090.145609367244,42.90%,3.11,1.78,42.80%,6286590.6,5702224.61,9.30%,6286590.6,5702224.61,9.30%
1,20,optimal,1.506,5,5,0,piece-wise,39045,170487.0,-336.60%,4.4,19.2,-336.40%,6678663.2,5967374.0,10.70%,6678663.2,5967374.0,10.70%
1,20,optimal_fw,0.001,5,5,0,piece-wise,39045,30591.115773309422,21.70%,4.4,3.44,21.80%,6678663.2,6005026.88,10.10%,6678663.2,6005026.88,10.10%
1,20,heuristic,0.001,2,5,0,piece-wise,39045,29360.0,24.80%,4.4,3.31,24.80%,6678663.2,5967374.0,10.70%,6678663.2,5967374.0,10.70%
1,20,heuristic_fw,0.002,2,5,0,piece-wise,39045,20427.96683933641,47.70%,4.4,2.3,47.70%,6678663.2,5967479.16,10.60%,6678663.2,5967479.16,10.60%
0,40,optimal,3.047,7,5,0,piece-wise,53484,259005.0,-384.30%,3.31,16.02,-384.00%,11782261.8,10861746.0,7.80%,11782261.8,10861746.0,7.80%
0,40,optimal_fw,0.001,7,5,0,piece-wise,53484,41705.33932127729,22.00%,3.31,2.58,22.10%,11782261.8,10912885.75,7.40%,11782261.8,10912885.75,7.40%
0,40,heuristic,0.001,6,5,0,piece-wise,53484,63115.0,-18.00%,3.31,3.9,-17.80%,11782261.8,10861746.0,7.80%,11782261.8,10861746.0,7.80%
0,40,heuristic_fw,0.001,6,5,0,piece-wise,53484,28446.136360925015,46.80%,3.31,1.76,46.80%,11782261.8,10861978.41,7.80%,11782261.8,10861978.41,7.80%
1,40,optimal,3.446,9,5,0,piece-wise,42927,447897.0,-943.40%,2.46,25.67,-943.50%,13132740.2,11725728.0,10.70%,13132740.2,11725728.0,10.70%
1,40,optimal_fw,0.001,9,5,0,piece-wise,42927,34262.94716621845,20.20%,2.46,1.96,20.30%,13132740.2,11835553.97,9.90%,13132740.2,11835553.97,9.90%
1,40,heuristic,0.003,4,5,0,piece-wise,42927,58820.0,-37.00%,2.46,3.37,-37.00%,13132740.2,11725728.0,10.70%,13132740.2,11725728.0,10.70%
1,40,heuristic_fw,0.002,4,5,0,piece-wise,42927,26345.975547059523,38.60%,2.46,1.51,38.60%,13132740.2,11733544.25,10.70%,13132740.2,11733544.25,10.70%
0,60,optimal,4.883,9,5,0,piece-wise,47573,338652.0,-611.90%,2.15,15.34,-613.50%,16481213.1,14836430.0,10.00%,16481213.1,14836430.0,10.00%
0,60,optimal_fw,0.001,9,5,0,piece-wise,47573,38745.71695284245,18.60%,2.15,1.75,18.60%,16481213.1,15007946.16,8.90%,16481213.1,15007946.16,8.90%
0,60,heuristic,0.002,6,5,0,piece-wise,47573,58430.0,-22.80%,2.15,2.65,-23.30%,16481213.1,14836430.0,10.00%,16481213.1,14836430.0,10.00%
0,60,heuristic_fw,0.002,6,5,0,piece-wise,47573,29424.137824489608,38.10%,2.15,1.33,38.10%,16481213.1,14849732.21,9.90%,16481213.1,14849732.21,9.90%
1,60,optimal,4.79,8,5,0,piece-wise,68767,646931.0,-840.80%,2.55,24.0,-841.20%,20299478.3,18114950.0,10.80%,20299478.3,18114950.0,10.80%
1,60,optimal_fw,0.001,8,5,0,piece-wise,68767,53680.79700331252,21.90%,2.55,1.99,22.00%,20299478.3,18255110.09,10.10%,20299478.3,18255110.09,10.10%
1,60,heuristic,0.0,3,5,0,piece-wise,68767,74184.0,-7.90%,2.55,2.75,-7.80%,20299478.3,18114950.0,10.80%,20299478.3,18114950.0,10.80%
1,60,heuristic_fw,0.002,3,5,0,piece-wise,68767,39933.0387783335,41.90%,2.55,1.48,42.00%,20299478.3,18117824.71,10.70%,20299478.3,18117824.71,10.70%
