no_households,no_tasks,algorithm,penalty_weight,cost_function_type,Average run_time,No_iterations,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final
20,5,heuristic,0,piece-wise,0.001,3.0,32733.5,35930.0,3.755,4.16,6482626.9,5834409.0,6482626.9,5834409.0
20,5,heuristic_fw,0,piece-wise,0.002,3.0,32733.5,17759.05622435183,3.755,2.04,6482626.9,5834851.885,6482626.9,5834851.885
20,5,optimal,0,piece-wise,1.553,6.0,32733.5,196302.0,3.755,22.689999999999998,6482626.9,5834409.0,6482626.9,5834409.0
20,5,optimal_fw,0,piece-wise,0.001,6.0,32733.5,25452.034958814816,3.755,2.915,6482626.9,5871105.73,6482626.9,5871105.73
40,5,heuristic,0,piece-wise,0.002,5.0,48205.5,60967.5,2.885,3.635,12457501.0,11293737.0,12457501.0,11293737.0
40,5,heuristic_fw,0,piece-wise,0.0015,5.0,48205.5,27396.05595399227,2.885,1.635,12457501.0,11297761.33,12457501.0,11297761.33
40,5,optimal,0,piece-wise,3.2465,8.0,48205.5,353451.0,2.885,20.845,12457501.0,11293737.0,12457501.0,11293737.0
40,5,optimal_fw,0,piece-wise,0.001,8.0,48205.5,37984.14324374787,2.885,2.27,12457501.0,11374219.86,12457501.0,11374219.86
60,5,heuristic,0,piece-wise,0.001,4.5,58170.0,66307.0,2.3499999999999996,2.7,18390345.7,16475690.0,18390345.7,16475690.0
60,5,heuristic_fw,0,piece-wise,0.002,4.5,58170.0,34678.58830141155,2.3499999999999996,1.405,18390345.7,16483778.46,18390345.7,16483778.46
60,5,optimal,0,piece-wise,4.8365,8.5,58170.0,492791.5,2.3499999999999996,19.67,18390345.7,16475690.0,18390345.7,16475690.0
60,5,optimal_fw,0,piece-wise,0.001,8.5,58170.0,46213.25697807748,2.3499999999999996,1.87,18390345.7,16631528.125,18390345.7,16631528.125
