,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,3083.208,2929.784,2826.795,2656.886,2618.893,2646.681,2642.157,2395.686,2462.58,2612.08,2786.882,2700.842,2885.945,3174.319,3512.407,3543.724,3757.567,3590.298,3474.127,3636.402,3759.247,3470.467,3287.201,3350.066,3362.393,3339.077,3547.533,3302.054,3427.19,3419.706,3492.254,3577.618,3608.902,3654.981,3502.057,3597.646,3682.15,3632.25,3784.203,3758.16,3740.507,3539.979,3420.302,3136.355,3123.514,3117.578,3064.28,2793.541
1,0.372,0.43,0.209,213.609,190.971,599.626,2884.848,53352.005,91021.837,7025.856,341.043,573.787,3.979,0.09,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.193,0.015,0.029,0.036,0.0,0.845,0.046,0.015,0.002,0.001,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752,0.134,0.318,8.922,208.467
2,5.626,23.185,491.618,5637.532,101049.476,37014.503,6593.518,0.173,0.0,327.541,1403.049,3486.812,13.25,0.19,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.365,0.048,0.058,0.163,0.0,0.658,0.068,0.134,0.0,0.001,0.001,0.0,0.026,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.003,0.721,0.128,0.087,10.894,368.633
