,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
objective,1609739339.7,87528057412.5,70254333688.3,59815161164.0,54956169539.9,48789603168.2,40060529914.1,32256621217.9,34541359792.4,31272436568.8,34559121540.2,27517733434.7,29565271602.0,27279174061.4,32805375832.7
max_demand,2526951.0,9937583.0,10767918.0,8631987.0,7937676.0,6346549.0,6545400.0,6165233.0,6101333.0,5354358.0,5255241.0,4866561.0,5405808.0,5333058.0,5254891.0
cost,1609739339.7,87000367412.5,69881692688.3,59504177164.0,54692563539.9,48553519168.2,39858385914.1,32070905217.9,34365757792.4,31099994568.8,34392372540.2,27350704434.7,29396644602.0,27112148061.4,32649985832.7
inconvenient,0.0,527690000.0,372641000.0,310984000.0,263606000.0,236084000.0,202144000.0,185716000.0,175602000.0,172442000.0,166749000.0,167029000.0,168627000.0,167026000.0,155390000.0
run_time,0.0,2.5779999999998386,2.2489999999998727,2.131999999999891,1.9739999999998967,2.18899999999988,1.8409999999999274,2.2569999999998918,2.065999999999894,1.9759999999998978,1.8659999999999088,2.0979999999998857,1.8999999999999058,1.9619999999998994,1.7839999999999168
PAR,1.25,4.93,5.34,4.28,3.94,3.15,3.25,3.06,3.03,2.66,2.61,2.42,2.68,2.65,2.61
step_size,1.0,0.04800000000000003,0.03000000000000002,0.030000000000000006,0.02600000000000001,0.012000000000000004,0.008,0.007,0.003,0.003,0.002,0.002,0.001,0.001,0.0
total_demand,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0,96716490.0
