,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.121,11,150,10,10,piece-wise,169829,1070598.0,-5.304,1.55,9.78,-5.31,96767662.3,569766051.8,-4.888,96767662.3,566512451.8,-4.854
heuristic_fw,0.001,11,150,10,10,piece-wise,169829,123641.25536429056,0.272,1.55,1.13,0.271,96767662.3,75555555.4168753,0.219,96767662.3,75520100.05,0.22
