,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,5.438,14,5,0,piece-wise,62817,359442.0,-4.722,2.68,15.32,-4.716,30156937.5,241598262.1,-7.011,30156937.5,241598262.1,-7.011
optimal_fw,0.001,14,5,0,piece-wise,62817,47823.381213210094,0.239,2.68,2.04,0.239,30156937.5,15844341.52,0.475,30156937.5,15844341.52,0.475
heuristic,0.002,7,5,0,piece-wise,62817,54627.0,0.13,2.68,2.33,0.131,30156937.5,20204279.8,0.33,30156937.5,20204279.8,0.33
heuristic_fw,0.001,7,5,0,piece-wise,62817,35202.809546454264,0.44,2.68,1.5,0.44,30156937.5,15764941.41,0.477,30156937.5,15764941.41,0.477
