,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,14.99,4,50,5,5,piece-wise,47334,47334.0,0.0,2.03,2.03,0.0,15882571.3,15882571.3,0.0,15882571.3,15882571.3,0.0
optimal_fw,0.02,4,50,5,5,piece-wise,47334,35799.13288502228,0.244,2.03,1.53,0.246,15882571.3,15727382.31860193,0.01,15882571.3,15727331.74,0.01
heuristic,0.047,5,50,5,5,piece-wise,47334,50834.0,-0.074,2.03,2.18,-0.074,15882571.3,16031588.8,-0.009,15882571.3,16030413.8,-0.009
heuristic_fw,0.02,5,50,5,5,piece-wise,47334,36073.33159889645,0.238,2.03,1.54,0.241,15882571.3,15727248.702234844,0.01,15882571.3,15727247.85,0.01
