,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,5.888,5,20,5,1,piece-wise,25360,25360.0,0.0,3.84,3.84,0.0,5044212.8,5044212.8,0.0,5044212.8,5044212.8,0.0
1,0,optimal_fw,0.007,5,20,5,1,piece-wise,25360,15999.99,0.369,3.84,2.42,0.37,5044212.8,4443961.666859431,0.119,5044212.8,4443958.57,0.119
2,0,heuristic,0.019,3,20,5,1,piece-wise,25360,25760.0,-0.016,3.84,3.9,-0.016,5044212.8,5131028.9,-0.017,5044212.8,5130992.9,-0.017
3,0,heuristic_fw,0.013,3,20,5,1,piece-wise,25360,15359.0,0.394,3.84,2.33,0.393,5044212.8,4441767.601755889,0.119,5044212.8,4441646.15,0.119
4,1,optimal,5.99,4,20,5,1,piece-wise,31920,31920.0,0.0,3.45,3.45,0.0,6803626.0,6803626.0,0.0,6803626.0,6803626.0,0.0
5,1,optimal_fw,0.009,4,20,5,1,piece-wise,31920,19527.87819079112,0.388,3.45,2.11,0.388,6803626.0,6222508.269669804,0.085,6803626.0,6222478.5,0.085
6,1,heuristic,0.019,4,20,5,1,piece-wise,31920,31920.0,0.0,3.45,3.45,0.0,6803626.0,6803641.0,-0.0,6803626.0,6803626.0,0.0
7,1,heuristic_fw,0.009,4,20,5,1,piece-wise,31920,19594.62112178121,0.386,3.45,2.12,0.386,6803626.0,6222587.011933524,0.085,6803626.0,6222554.97,0.085
8,2,optimal,5.55,2,20,5,1,piece-wise,29050,29050.0,0.0,3.76,3.76,0.0,5795726.6,5795726.6,0.0,5795726.6,5795726.6,0.0
9,2,optimal_fw,0.016,2,20,5,1,piece-wise,29050,18253.10740127038,0.372,3.76,2.36,0.372,5795726.6,5201858.503739772,0.102,5795726.6,5201559.62,0.103
10,2,heuristic,0.019,2,20,5,1,piece-wise,29050,29050.0,0.0,3.76,3.76,0.0,5795726.6,5795748.2,-0.0,5795726.6,5795740.2,-0.0
11,2,heuristic_fw,0.015,2,20,5,1,piece-wise,29050,18191.515261344048,0.374,3.76,2.35,0.375,5795726.6,5201273.854937811,0.103,5795726.6,5200941.79,0.103
12,3,optimal,6.12,4,20,5,1,piece-wise,27134,27134.0,0.0,3.81,3.81,0.0,5257339.2,5257339.2,0.0,5257339.2,5257339.2,0.0
13,3,optimal_fw,0.01,4,20,5,1,piece-wise,27134,16706.00590582445,0.384,3.81,2.35,0.383,5257339.2,4786268.971888949,0.09,5257339.2,4786266.65,0.09
14,3,heuristic,0.018,4,20,5,1,piece-wise,27134,27134.0,0.0,3.81,3.81,0.0,5257339.2,5257394.2,-0.0,5257339.2,5257339.2,0.0
15,3,heuristic_fw,0.009,4,20,5,1,piece-wise,27134,16706.00590582447,0.384,3.81,2.35,0.383,5257339.2,4786202.82030724,0.09,5257339.2,4786198.66,0.09
16,4,optimal,6.26,5,20,5,1,piece-wise,40250,40250.0,0.0,3.32,3.32,0.0,8880549.9,8880549.9,0.0,8880549.9,8880549.9,0.0
17,4,optimal_fw,0.011,5,20,5,1,piece-wise,40250,25201.493796814906,0.374,3.32,2.08,0.373,8880549.9,8165349.509147258,0.081,8880549.9,8165341.82,0.081
18,4,heuristic,0.02,7,20,5,1,piece-wise,40250,41100.0,-0.021,3.32,3.39,-0.021,8880549.9,9103044.9,-0.025,8880549.9,9102884.9,-0.025
19,4,heuristic_fw,0.008,7,20,5,1,piece-wise,40250,25490.612892195113,0.367,3.32,2.1,0.367,8880549.9,8167556.498035163,0.08,8880549.9,8167550.04,0.08
20,0,optimal,11.248,4,40,5,1,piece-wise,33865,33865.0,0.0,2.17,2.17,0.0,11937434.8,11877125.5,0.005,11937434.8,11877022.5,0.005
21,0,optimal_fw,0.032,4,40,5,1,piece-wise,33865,21699.99,0.359,2.17,1.39,0.359,11937434.8,10499329.315870237,0.12,11937434.8,10499320.92,0.12
22,0,heuristic,0.038,4,40,5,1,piece-wise,33865,55055.0,-0.626,2.17,3.53,-0.627,11937434.8,17363794.3,-0.455,11937434.8,17363420.3,-0.455
23,0,heuristic_fw,0.033,4,40,5,1,piece-wise,33865,21340.63654850374,0.37,2.17,1.37,0.369,11937434.8,10500067.551351145,0.12,11937434.8,10500050.49,0.12
24,1,optimal,11.742,4,40,5,1,piece-wise,39665,39665.0,0.0,3.11,3.11,0.0,9234204.3,9234204.3,0.0,9234204.3,9234204.3,0.0
25,1,optimal_fw,0.007,4,40,5,1,piece-wise,39665,23848.0,0.399,3.11,1.87,0.399,9234204.3,8565439.581762642,0.072,9234204.3,8565409.31,0.072
26,1,heuristic,0.038,3,40,5,1,piece-wise,39665,39665.0,0.0,3.11,3.11,0.0,9234204.3,9236045.9,-0.0,9234204.3,9235909.9,-0.0
27,1,heuristic_fw,0.009,3,40,5,1,piece-wise,39665,23848.0,0.399,3.11,1.87,0.399,9234204.3,8566688.208856499,0.072,9234204.3,8566623.01,0.072
28,2,optimal,12.107,6,40,5,1,piece-wise,49067,49067.0,0.0,2.61,2.61,0.0,13908856.2,13905066.4,0.0,13908856.2,13904992.4,0.0
29,2,optimal_fw,0.016,6,40,5,1,piece-wise,49067,31206.12712980877,0.364,2.61,1.66,0.364,13908856.2,12676506.149226347,0.089,13908856.2,12676506.15,0.089
30,2,heuristic,0.038,13,40,5,1,piece-wise,49067,58347.0,-0.189,2.61,3.1,-0.188,13908856.2,21141965.9,-0.52,13908856.2,21141530.9,-0.52
31,2,heuristic_fw,0.008,13,40,5,1,piece-wise,49067,32100.497343408217,0.346,2.61,1.7,0.349,13908856.2,12683453.691081852,0.088,13908856.2,12683450.42,0.088
32,3,optimal,12.472,5,40,5,1,piece-wise,38715,39395.0,-0.018,2.59,2.64,-0.019,10814906.0,11773670.7,-0.089,10814906.0,11773558.7,-0.089
33,3,optimal_fw,0.021,5,40,5,1,piece-wise,38715,24404.68380856388,0.37,2.59,1.63,0.371,10814906.0,10068918.494723435,0.069,10814906.0,10068890.96,0.069
34,3,heuristic,0.038,4,40,5,1,piece-wise,38715,38715.0,0.0,2.59,2.59,0.0,10814906.0,11595694.9,-0.072,10814906.0,11595546.9,-0.072
35,3,heuristic_fw,0.025,4,40,5,1,piece-wise,38715,24613.135338405096,0.364,2.59,1.65,0.363,10814906.0,10065175.549410421,0.069,10814906.0,10065124.01,0.069
