,max_demand,total_demand,PAR,objective,cost,inconvenient,step_size,rescheduling_time,pricing_time
0,304782.0,9391030.0,0.64,142067638.7,142067638.7,0.0,1.0,0.0,0.0
1,278689.30361911573,9391029.999999996,0.7,135577067.09800002,135570427.52,6639.577999999999,0.08899999999999998,0.14366978400000052,0.002090930938720703
2,269593.34988143557,9391030.0,0.73,134645408.801926,134640549.01,4859.791926,0.033,0.14591387300000003,0.0010058879852294922
3,257664.74161789523,9391029.999999998,0.76,133720403.23936333,133714005.94,6397.299363329999,0.045,0.14684279399999656,0.0013921260833740234
4,249254.99449394087,9391029.999999996,0.78,133273487.35612102,133270141.43,3345.92612101011,0.033,0.14411924100000162,0.0010528564453125
5,243801.54446940793,9391029.999999996,0.8,133045545.18562534,133043099.73,2445.4556253377773,0.022,0.1458824589999974,0.0010211467742919922
6,238467.41047796176,9391029.999999996,0.82,132887395.08197625,132885344.45,2050.6319762425687,0.022,0.14332630499999466,0.0007979869842529297
7,235844.3019627042,9391029.999999998,0.83,132795182.46404827,132793116.22,2066.244048261332,0.011,0.13951689400000244,0.0005819797515869141
8,233250.04764111445,9391030.000000004,0.84,132728194.68031548,132726478.98,1715.7003154691251,0.011,0.14526752800001042,0.000576019287109375
9,233250.04764111445,9391030.000000004,0.84,132728194.68031548,132726478.98,1715.7003154691251,0.0,0.14202378800000126,0.0003581047058105469
