no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
2000,5,optimal,1,piece-wise,0.5,513.1179999999999,22.0,1011119.5,22964558.5,-21.747,1.245,28.275,-21.7025,674873358.2,7575744651.9,-10.2395,674873358.2,7573150944.4,-10.236
2000,5,optimal_fw,1,piece-wise,0.5,0.005,22.0,1011119.5,867619.9733422155,0.142,1.245,1.065,0.1445,674873358.2,591803650.0022433,0.123,674873358.2,591802102.4200001,0.123
4000,5,optimal,1,piece-wise,0.5,1136.9225000000001,18.5,2002902.5,50743078.5,-24.343,1.23,31.17,-24.349,1355589519.8000002,15761797891.2,-10.631,1355589519.8000002,15757054457.2,-10.628
4000,5,optimal_fw,1,piece-wise,0.5,0.005,18.5,2002902.5,1745213.002798941,0.1285,1.23,1.07,0.13,1355589519.8000002,1197633197.2792823,0.11649999999999999,1355589519.8000002,1197627971.175,0.11649999999999999
6000,5,optimal,1,piece-wise,0.5,2119.7889999999998,29.5,2968490.0,47663786.5,-15.035,1.21,19.55,-15.0765,2075061882.05,17748931794.6,-7.5965,2075061882.05,17744444199.1,-7.5945
6000,5,optimal_fw,1,piece-wise,0.5,0.004,29.5,2968490.0,2543331.6236012354,0.14300000000000002,1.21,1.04,0.1405,2075061882.05,1817287258.2856307,0.124,2075061882.05,1817284819.29,0.124
8000,5,optimal,1,piece-wise,0.5,2628.342,24.0,3955734.5,74012787.0,-17.554499999999997,1.23,23.025,-17.571,2640612168.05,27689565757.0,-9.5475,2640612168.05,27681317193.5,-9.5445
8000,5,optimal_fw,1,piece-wise,0.5,0.0045000000000000005,24.0,3955734.5,3424797.750408789,0.134,1.23,1.065,0.134,2640612168.05,2365242879.233679,0.104,2640612168.05,2365237259.04,0.104
10000,5,optimal,1,piece-wise,0.5,3340.1385,22.5,4907700.0,124463469.5,-24.360500000000002,1.21,30.67,-24.3475,3411237892.5,39483675557.2,-10.5825,3411237892.5,39469972961.2,-10.5785
10000,5,optimal_fw,1,piece-wise,0.5,0.004,22.5,4907700.0,4334807.4002639875,0.11699999999999999,1.21,1.07,0.11549999999999999,3411237892.5,3034878846.2777843,0.11,3411237892.5,3034871965.755,0.11
