,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
objective,1641650390.2,179560261957.0,174081131656.4,176239795397.0,170900149062.0,153786834957.0,167418854656.8,175888478272.0,161239810097.0,145033419042.0,146922459715.4,149792345437.1,166529158863.8,155830916255.8,158816710031.0,166358413417.0,174049383491.5,11811354955.9,164502278455.0
max_demand,2449363.0,26208539.0,38736597.0,33388314.0,38041641.0,21172055.0,21717288.0,24596274.0,29766112.0,24852644.0,19017126.0,22007648.0,33234288.0,39227608.0,21427006.0,18311589.0,29069596.0,3653361.0,34082503.0
cost,1641650390.2,179538461312.0,174055934496.4,176215426282.0,170880872342.0,153774446052.0,167396304741.8,175874516272.0,161225788082.0,145020581997.0,146911232140.4,149778578972.1,166509338108.8,155816486570.8,158808045796.0,166348441282.0,174034339966.5,11811028195.9,164487513550.0
inconvenient,0.0,21800645.0,25197160.0,24369115.0,19276720.0,12388905.0,22549915.0,13962000.0,14022015.0,12837045.0,11227575.0,13766465.0,19820755.0,14429685.0,8664235.0,9972135.0,15043525.0,326760.0,14764905.0
run_time,0.0,798.3799999999741,683.769999999984,661.3599999999949,2071.7599999999657,665.6999999999942,716.8000000000081,741.199999999985,827.9999999999791,687.3399999999879,687.6599999999875,747.6099999999781,1170.2299999999761,3041.6000000000345,729.7899999999814,848.5799999999718,1527.1400000000485,766.6199999999674,1572.1600000000356
PAR,1.22,13.02,19.25,16.59,18.9,10.52,10.79,12.22,14.79,12.35,9.45,10.93,16.51,19.49,10.65,9.1,14.44,1.82,16.93
step_size,1.0,0.02400000000000001,0.014000000000000005,0.012000000000000004,0.009000000000000001,0.015000000000000006,0.009000000000000001,0.007,0.005,0.006,0.005,0.004,0.002,0.001,0.002,0.003,0.001,0.031,0.0
total_demand,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0,96608323.0
