,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.035,4,10,10,piece-wise,84255,83049.0,0.014,2.39,2.36,0.013,30041663.9,27454643.5,0.086,30041663.9,27375043.5,0.089
heuristic_fw,0.002,4,10,10,piece-wise,84255,49611.244317733304,0.411,2.39,1.41,0.41,30041663.9,23706514.8828592,0.211,30041663.9,23705470.88,0.211
