,0,1,2,3,4,5,6,7
PAR,2.06,5.01,4.81,3.48,3.42,3.42,3.92,3.87
inconvenient,0.0,515600.0,327900.0,348100.0,230900.0,207100.0,195400.0,223200.0
objective,28160260.8,95806872.6,77658750.2,76971283.3,62447231.4,73697651.4,71292725.1,66332091.2
total_demand,1625579.0,1625579.0,1625579.0,1625579.0,1625579.0,1625579.0,1625579.0,1625579.0
run_time,0.0,0.03000000000000002,0.028000000000000018,0.017000000000000008,0.04100000000000003,0.024000000000000014,0.02900000000000002,0.027000000000000017
max_demand,69805.0,169819.0,163007.0,117939.0,115916.0,115991.0,132767.0,131081.0
step_size,1.0,0.21000000000000005,0.10399999999999998,0.087,0.035,0.022,0.012,0.0
cost,28160260.8,95291272.6,77330850.2,76623183.3,62216331.4,73490551.4,71097325.1,66108891.2
