,repeat,algorithm,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,heuristic,0.05,5,50,10,10,piece-wise,90618,148517.0,-0.639,2.25,3.69,-0.64,31077210.8,45067536.2,-0.45,31077210.8,44984436.2,-0.448
1,0,heuristic_fw,0.002,5,50,10,10,piece-wise,90618,53091.86807055882,0.414,2.25,1.32,0.413,31077210.8,27094923.05012844,0.128,31077210.8,27090222.79,0.128
2,1,heuristic,0.046,6,50,10,10,piece-wise,79492,142175.0,-0.789,2.24,4.0,-0.786,29241244.3,64669232.2,-1.212,29241244.3,64482632.2,-1.205
3,1,heuristic_fw,0.002,6,50,10,10,piece-wise,79492,48377.70679430981,0.391,2.24,1.36,0.393,29241244.3,23981529.17341547,0.18,29241244.3,23976408.6,0.18
4,0,heuristic,0.088,7,100,10,10,piece-wise,117970,693251.0,-4.877,1.57,9.22,-4.873,71382211.4,378954166.5,-4.309,71382211.4,377540466.5,-4.289
5,0,heuristic_fw,0.002,7,100,10,10,piece-wise,117970,85521.47163835273,0.275,1.57,1.14,0.274,71382211.4,51762736.57239137,0.275,71382211.4,51746687.12,0.275
6,1,heuristic,0.083,9,100,10,10,piece-wise,126075,349215.0,-1.77,1.68,4.65,-1.768,69651456.5,313596424.5,-3.502,69651456.5,312500424.5,-3.487
7,1,heuristic_fw,0.001,9,100,10,10,piece-wise,126075,81914.45430380519,0.35,1.68,1.09,0.351,69651456.5,51096536.35199841,0.266,69651456.5,51083718.7,0.267
8,0,heuristic,0.102,10,150,10,10,piece-wise,168104,614351.0,-2.655,1.52,5.54,-2.645,95520558.3,421577076.1,-3.413,95520558.3,420107776.1,-3.398
9,0,heuristic_fw,0.001,10,150,10,10,piece-wise,168104,128269.7833982738,0.237,1.52,1.16,0.237,95520558.3,76976297.63559708,0.194,95520558.3,76958359.92,0.194
10,1,heuristic,0.121,11,150,10,10,piece-wise,169829,1070598.0,-5.304,1.55,9.78,-5.31,96767662.3,569766051.8,-4.888,96767662.3,566512451.8,-4.854
11,1,heuristic_fw,0.001,11,150,10,10,piece-wise,169829,123641.25536429056,0.272,1.55,1.13,0.271,96767662.3,75555555.4168753,0.219,96767662.3,75520100.05,0.22
12,0,heuristic,0.159,10,200,10,10,piece-wise,270490,927172.0,-2.428,1.75,5.99,-2.423,117263797.5,557438720.9,-3.754,117263797.5,555236020.9,-3.735
13,0,heuristic_fw,0.001,10,200,10,10,piece-wise,270490,187135.16107980142,0.308,1.75,1.21,0.309,117263797.5,105309576.29429492,0.102,117263797.5,105287254.33,0.102
14,1,heuristic,0.166,14,200,10,10,piece-wise,233968,1291309.0,-4.519,1.68,9.24,-4.5,110519502.1,554770753.4,-4.02,110519502.1,552000153.4,-3.995
15,1,heuristic_fw,0.001,14,200,10,10,piece-wise,233968,162266.50485868013,0.306,1.68,1.16,0.31,110519502.1,95307832.84118265,0.138,110519502.1,95282897.48,0.138
