,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.029,4,20,10,10,piece-wise,45187,53987.0,-0.195,2.71,3.24,-0.196,13072100.8,16598308.8,-0.27,13072100.8,16574408.8,-0.268
heuristic_fw,0.004,4,20,10,10,piece-wise,45187,26794.53259939537,0.407,2.71,1.61,0.406,13072100.8,11203185.733692,0.143,13072100.8,11202944.04,0.143
