,heuristic,heuristic_fw
no_tasks,5,5
no_households,20,20
penalty_weight,1,1
cost_function_type,piece-wise,piece-wise
max_demand reduction,0.05,0.37
PAR reduction,-0.06,-0.56
objective reduction,0.07,0.07
cost reduction,0.07,0.07
Average run_time,0.016,0.003
