repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,2.163,4,5,1,piece-wise,35801,35801.0,0.00%,3.83,3.83,0.00%,6987809.5,6280442.0,10.10%,6987809.5,6280442.0,10.10%
0,20,optimal_fw,0.002,4,5,1,piece-wise,35801,22413.997173147145,37.40%,3.83,2.4,37.30%,6987809.5,6285361.766933376,10.10%,6987809.5,6285346.04,10.10%
0,20,heuristic,0.001,4,5,1,piece-wise,35801,42861.0,-19.70%,3.83,4.59,-19.80%,6987809.5,6280565.0,10.10%,6987809.5,6280442.0,10.10%
0,20,heuristic_fw,0.002,4,5,1,piece-wise,35801,22811.42340802477,36.30%,3.83,2.44,36.30%,6987809.5,6285527.428953247,10.10%,6987809.5,6285525.02,10.10%
1,20,optimal,2.73,5,5,1,piece-wise,28969,28969.0,0.00%,3.94,3.94,0.00%,5529982.8,4945864.0,10.60%,5529982.8,4945864.0,10.60%
1,20,optimal_fw,0.001,5,5,1,piece-wise,28969,17508.272807405156,39.60%,3.94,2.38,39.60%,5529982.8,4949914.89445838,10.50%,5529982.8,4949884.2,10.50%
1,20,heuristic,0.0,4,5,1,piece-wise,28969,33844.0,-16.80%,3.94,4.6,-16.80%,5529982.8,4945876.0,10.60%,5529982.8,4945864.0,10.60%
1,20,heuristic_fw,0.002,4,5,1,piece-wise,28969,18257.82225659821,37.00%,3.94,2.48,37.10%,5529982.8,4950463.183759999,10.50%,5529982.8,4950453.17,10.50%
2,20,optimal,4.407,6,5,1,piece-wise,22066,50967.0,-131.00%,2.67,6.17,-131.10%,6340359.5,5552852.0,12.40%,6340359.5,5552632.0,12.40%
2,20,optimal_fw,0.001,6,5,1,piece-wise,22066,14474.472670071225,34.40%,2.67,1.75,34.50%,6340359.5,5565563.390939735,12.20%,6340359.5,5565529.55,12.20%
2,20,heuristic,0.001,3,5,1,piece-wise,22066,30530.0,-38.40%,2.67,3.69,-38.20%,6340359.5,5552682.0,12.40%,6340359.5,5552557.0,12.40%
2,20,heuristic_fw,0.002,3,5,1,piece-wise,22066,14120.734130622388,36.00%,2.67,1.71,36.00%,6340359.5,5561206.399441,12.30%,6340359.5,5561155.66,12.30%
3,20,optimal,3.89,5,5,1,piece-wise,25680,37740.0,-47.00%,3.33,4.89,-46.80%,5658528.9,5185420.0,8.40%,5658528.9,5185320.0,8.40%
3,20,optimal_fw,0.002,5,5,1,piece-wise,25680,16393.904322723516,36.20%,3.33,2.12,36.30%,5658528.9,5191361.551371742,8.30%,5658528.9,5191360.2,8.30%
3,20,heuristic,0.0,3,5,1,piece-wise,25680,23680.0,7.80%,3.33,3.07,7.80%,5658528.9,5185363.0,8.40%,5658528.9,5185320.0,8.40%
3,20,heuristic_fw,0.002,3,5,1,piece-wise,25680,15734.91218525449,38.70%,3.33,2.04,38.70%,5658528.9,5188497.650768001,8.30%,5658528.9,5188490.4,8.30%
4,20,optimal,2.693,4,5,1,piece-wise,30648,38450.0,-25.50%,3.57,4.48,-25.50%,6666478.6,5769106.0,13.50%,6666478.6,5768980.0,13.50%
4,20,optimal_fw,0.001,4,5,1,piece-wise,30648,19302.85681179934,37.00%,3.57,2.25,37.00%,6666478.6,5778372.54367896,13.30%,6666478.6,5778371.91,13.30%
4,20,heuristic,0.0,3,5,1,piece-wise,30648,30648.0,0.00%,3.57,3.57,0.00%,6666478.6,5769033.0,13.50%,6666478.6,5768980.0,13.50%
4,20,heuristic_fw,0.002,3,5,1,piece-wise,30648,18732.84061059581,38.90%,3.57,2.18,38.90%,6666478.6,5775627.68528,13.40%,6666478.6,5775546.56,13.40%
0,40,optimal,6.945,6,5,1,piece-wise,35433,61844.0,-74.50%,2.05,3.59,-75.10%,13193372.0,11592085.0,12.10%,13193372.0,11591758.0,12.10%
0,40,optimal_fw,0.002,6,5,1,piece-wise,35433,23215.120219296037,34.50%,2.05,1.35,34.10%,13193372.0,11630020.46343431,11.80%,13193372.0,11629958.53,11.80%
0,40,heuristic,0.0,5,5,1,piece-wise,35433,76553.0,-116.10%,2.05,4.44,-116.60%,13193372.0,11592905.0,12.10%,13193372.0,11591793.0,12.10%
0,40,heuristic_fw,0.002,5,5,1,piece-wise,35433,23565.077774540372,33.50%,2.05,1.37,33.20%,13193372.0,11633228.719555642,11.80%,13193372.0,11633169.42,11.80%
1,40,optimal,4.643,3,5,1,piece-wise,56657,56657.0,0.00%,3.47,3.47,0.00%,11924345.2,10976336.0,8.00%,11924345.2,10976336.0,8.00%
1,40,optimal_fw,0.002,3,5,1,piece-wise,56657,33712.493996116515,40.50%,3.47,2.06,40.60%,11924345.2,10980148.113874001,7.90%,11924345.2,10980122.31,7.90%
1,40,heuristic,0.0,3,5,1,piece-wise,56657,56657.0,0.00%,3.47,3.47,0.00%,11924345.2,10976437.0,7.90%,11924345.2,10976336.0,8.00%
1,40,heuristic_fw,0.001,3,5,1,piece-wise,56657,35693.50046440201,37.00%,3.47,2.19,36.90%,11924345.2,10983588.306259999,7.90%,11924345.2,10983591.68,7.90%
2,40,optimal,7.579,8,5,1,piece-wise,36624,50174.0,-37.00%,2.45,3.36,-37.10%,11026953.2,10042688.0,8.90%,11026953.2,10042416.0,8.90%
2,40,optimal_fw,0.001,8,5,1,piece-wise,36624,23219.853832202225,36.60%,2.45,1.55,36.70%,11026953.2,10065752.043767974,8.70%,11026953.2,10065741.85,8.70%
2,40,heuristic,0.005,3,5,1,piece-wise,36624,48715.0,-33.00%,2.45,3.26,-33.10%,11026953.2,10042719.0,8.90%,11026953.2,10042396.0,8.90%
2,40,heuristic_fw,0.003,3,5,1,piece-wise,36624,24758.605992327855,32.40%,2.45,1.66,32.20%,11026953.2,10058909.110728,8.80%,11026953.2,10058867.52,8.80%
3,40,optimal,4.638,4,5,1,piece-wise,46718,49807.0,-6.60%,2.79,2.98,-6.80%,13639560.5,11235164.0,17.60%,13639560.5,11234986.0,17.60%
3,40,optimal_fw,0.002,4,5,1,piece-wise,46718,30068.765361154932,35.60%,2.79,1.8,35.50%,13639560.5,11253211.014036296,17.50%,13639560.5,11253205.54,17.50%
3,40,heuristic,0.001,4,5,1,piece-wise,46718,49758.0,-6.50%,2.79,2.98,-6.80%,13639560.5,11235322.0,17.60%,13639560.5,11234996.0,17.60%
3,40,heuristic_fw,0.002,4,5,1,piece-wise,46718,30068.210666125487,35.60%,2.79,1.8,35.50%,13639560.5,11262176.665635245,17.40%,13639560.5,11262164.72,17.40%
