,repeat,algorithm,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,9.288,14,50,5,0,piece-wise,45226,277274.0,-5.131,2.18,13.37,-5.133,15651930.3,1532832662.5,-96.932,15651930.3,1532832662.5,-96.932
1,0,optimal_fw,0.013,14,50,5,0,piece-wise,45226,29843.504109965765,0.34,2.18,1.44,0.339,15651930.3,13989176.22,0.106,15651930.3,13989176.22,0.106
2,0,heuristic,0.039,4,50,5,0,piece-wise,45226,69741.0,-0.542,2.18,3.36,-0.541,15651930.3,103706208.3,-5.626,15651930.3,103706208.3,-5.626
3,0,heuristic_fw,0.034,4,50,5,0,piece-wise,45226,28339.96144742788,0.373,2.18,1.37,0.372,15651930.3,13952381.39,0.109,15651930.3,13952381.39,0.109
4,0,optimal,9.683,14,50,5,1,piece-wise,45226,277274.0,-5.131,2.18,13.37,-5.133,15651930.3,1532832662.5,-96.932,15651930.3,1532832662.5,-96.932
5,0,optimal_fw,0.014,14,50,5,1,piece-wise,45226,29843.504109965765,0.34,2.18,1.44,0.339,15651930.3,13989176.22,0.106,15651930.3,13989176.22,0.106
6,0,heuristic,0.04,6,50,5,1,piece-wise,45226,41755.0,0.077,2.18,2.01,0.078,15651930.3,14520161.9,0.072,15651930.3,14520161.9,0.072
7,0,heuristic_fw,0.024,6,50,5,1,piece-wise,45226,28320.661977311967,0.374,2.18,1.37,0.372,15651930.3,13954044.28,0.108,15651930.3,13954044.28,0.108
8,0,optimal,9.668,14,50,5,5,piece-wise,45226,277274.0,-5.131,2.18,13.37,-5.133,15651930.3,1532832662.5,-96.932,15651930.3,1532832662.5,-96.932
9,0,optimal_fw,0.014,14,50,5,5,piece-wise,45226,29843.504109965765,0.34,2.18,1.44,0.339,15651930.3,13989176.22,0.106,15651930.3,13989176.22,0.106
10,0,heuristic,0.038,10,50,5,5,piece-wise,45226,49173.0,-0.087,2.18,2.37,-0.087,15651930.3,27554502.8,-0.76,15651930.3,27554502.8,-0.76
11,0,heuristic_fw,0.017,10,50,5,5,piece-wise,45226,27602.741703475444,0.39,2.18,1.33,0.39,15651930.3,13946609.78,0.109,15651930.3,13946609.78,0.109
