,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.21,0.2,0.125,2.1,3.26,5.74,2.58,0.0,0.0,0.11,0.2,6.04,7.15,5.83,3.625,3.42,6.245,2.215,18.0,11.7,14.645,4.905,0.245,7.2,23.855,7.62,13.622,5.2,1.1,2.05,8.55,9.6,2.524,0.186,0.362,7.9,11.07,7.0,7.168,4.656,11.91,0.63,0.21,2.3,1.872,2.916,1.872,2.35
1,23.09,6.245,12.8,10.5,5.11,1.065,6.055,7.73,0.25,2.574,3.842,3.718,3.6,4.6,2.42,0.03,0.75,0.57,0.0,3.668,2.676,7.34,20.34,5.04,0.0,5.1,1.71,7.0,0.015,8.045,8.415,17.11,6.71,3.1,0.0,0.0,3.575,4.8,6.995,14.765,7.2,4.944,1.471,2.4,4.3,0.3,0.3,0.0
2,35.4,15.58,16.03,5.13,2.7,0.005,0.11,6.05,1.2,3.6,8.2,2.5,3.9,3.6,8.2,4.6,0.0,3.5,0.212,0.398,0.224,0.375,0.355,0.415,6.605,7.265,14.4,5.46,2.1,1.41,12.0,12.3,0.0,0.0,2.44,9.54,15.3,7.0,0.0,1.1,12.356,5.223,0.0,1.03,0.465,1.846,2.144,0.0
3,5.3,6.65,1.295,1.05,2.3,1.275,0.0,0.1,0.18,2.43,2.41,19.44,3.845,3.615,3.816,5.244,6.7,9.3,2.71,0.645,0.365,5.165,2.355,0.0,4.8,7.2,2.4,0.0,0.0,6.0,9.5,2.3,0.21,2.7,8.856,14.956,23.07,38.255,0.062,0.186,1.324,3.72,3.996,1.268,12.145,2.43,7.2,3.5
4,4.012,0.6,0.0,0.135,2.27,0.01,1.4,2.1,0.8,0.4,0.2,3.5,3.768,4.016,6.0,3.6,0.42,7.095,1.515,2.6,1.3,0.0,0.0,0.0,22.1,7.2,4.25,12.412,0.386,6.124,14.3,5.1,3.5,0.25,0.2,9.1,31.28,21.84,10.96,5.8,2.71,7.22,11.12,6.03,0.15,0.207,10.716,3.572
