no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
20,10,heuristic,10,piece-wise,0.5,0.027,5.5,31603.0,48515.0,-0.546,2.425,3.7249999999999996,-0.5465,11850652.8,20061322.450000003,-0.6985,11850652.8,20014822.450000003,-0.6950000000000001
20,10,heuristic_fw,10,piece-wise,0.5,0.003,5.5,31603.0,18676.262861917137,0.4085,2.425,1.4300000000000002,0.41,11850652.8,8783210.73013099,0.2585,11850652.8,8781406.99,0.2585
20,10,optimal,10,piece-wise,0.5,17.9535,5.0,31603.0,47990.0,-0.5465,2.425,3.6900000000000004,-0.5489999999999999,11850652.8,17901932.3,-0.504,11850652.8,17861332.3,-0.501
20,10,optimal_fw,10,piece-wise,0.5,0.0035,5.0,31603.0,18865.016090966834,0.40149999999999997,2.425,1.45,0.401,11850652.8,8781289.64916766,0.2585,11850652.8,8779977.870000001,0.2585
40,10,heuristic,10,piece-wise,0.5,0.056999999999999995,5.5,64168.0,105782.0,-0.653,2.175,3.6,-0.6525,23645998.2,42196736.9,-0.7855000000000001,23645998.2,42079586.9,-0.78
40,10,heuristic_fw,10,piece-wise,0.5,0.003,5.5,64168.0,39122.273672419484,0.39,2.175,1.3250000000000002,0.3905,23645998.2,19896002.014669348,0.1565,23645998.2,19894002.715,0.1565
40,10,optimal,10,piece-wise,0.5,29.0125,5.5,64168.0,83448.5,-0.296,2.175,2.815,-0.2965,23645998.2,34461260.55,-0.446,23645998.2,34384610.55,-0.443
40,10,optimal_fw,10,piece-wise,0.5,0.003,5.5,64168.0,38931.50816023443,0.393,2.175,1.32,0.393,23645998.2,19893420.688271906,0.1565,23645998.2,19892422.744999997,0.1565
80,10,heuristic,10,piece-wise,0.5,0.1135,9.0,96569.5,326883.0,-2.333,1.7149999999999999,5.735,-2.335,48624903.3,214188956.05,-3.4290000000000003,48624903.3,213397106.05,-3.4130000000000003
80,10,heuristic_fw,10,piece-wise,0.5,0.0025,9.0,96569.5,65127.030796009785,0.32299999999999995,1.7149999999999999,1.16,0.3235,48624903.3,38254611.20461553,0.21200000000000002,48624903.3,38244458.57,0.21250000000000002
80,10,optimal,10,piece-wise,0.5,61.1425,9.0,96569.5,338355.0,-2.4175,1.7149999999999999,5.895,-2.4225,48624903.3,198204357.85,-3.0735,48624903.3,197630107.85,-3.0620000000000003
80,10,optimal_fw,10,piece-wise,0.5,0.002,9.0,96569.5,64124.18269070036,0.3355,1.7149999999999999,1.1400000000000001,0.335,48624903.3,38184720.6498346,0.21350000000000002,48624903.3,38175954.84,0.21350000000000002
100,10,heuristic,10,piece-wise,0.5,0.14950000000000002,10.5,123249.0,420135.5,-2.4215,1.685,5.785,-2.4285,61448086.8,286600271.35,-3.548,61448086.8,285504921.35,-3.5309999999999997
100,10,heuristic_fw,10,piece-wise,0.5,0.002,10.5,123249.0,82248.72403549803,0.3335,1.685,1.13,0.329,61448086.8,49813159.9965801,0.1805,61448086.8,49799778.175,0.1805
100,10,optimal,10,piece-wise,0.5,76.4145,10.0,123249.0,501879.5,-3.0134999999999996,1.685,6.745,-3.0225,61448086.8,282944840.55,-3.5135000000000005,61448086.8,281974040.55,-3.4985
100,10,optimal_fw,10,piece-wise,0.5,0.002,10.0,123249.0,82305.04115668307,0.3325,1.685,1.13,0.329,61448086.8,49780488.443265826,0.1805,61448086.8,49769143.855000004,0.181
