,repeat,algorithm,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,10.767,6,50,10,10,piece-wise,80652,183043.0,-1.27,2.12,4.81,-1.269,32441799.6,78568757.3,-1.422,32441799.6,78437657.3,-1.418
1,0,optimal_fw,0.002,6,50,10,10,piece-wise,80652,49390.73449488466,0.388,2.12,1.3,0.387,32441799.6,25674687.429772366,0.209,32441799.6,25669974.43,0.209
2,0,heuristic,0.035,8,50,10,10,piece-wise,80652,187568.0,-1.326,2.12,4.93,-1.325,32441799.6,105537028.5,-2.253,32441799.6,105320228.5,-2.246
3,0,heuristic_fw,0.001,8,50,10,10,piece-wise,80652,49539.91135555347,0.386,2.12,1.3,0.387,32441799.6,25674590.742940906,0.209,32441799.6,25672218.28,0.209
4,1,optimal,11.522,6,50,10,10,piece-wise,73578,153269.0,-1.083,2.15,4.48,-1.084,29517280.6,68096746.9,-1.307,29517280.6,67992546.9,-1.303
5,1,optimal_fw,0.002,6,50,10,10,piece-wise,73578,44821.39503480392,0.391,2.15,1.31,0.391,29517280.6,23074939.029875644,0.218,29517280.6,23066944.99,0.219
6,1,heuristic,0.023,6,50,10,10,piece-wise,73578,190145.0,-1.584,2.15,5.56,-1.586,29517280.6,90738173.4,-2.074,29517280.6,90549273.4,-2.068
7,1,heuristic_fw,0.002,6,50,10,10,piece-wise,73578,45544.08461344099,0.381,2.15,1.33,0.381,29517280.6,23077065.19769995,0.218,29517280.6,23074486.72,0.218
8,0,optimal,20.755,8,100,10,10,piece-wise,104827,497631.0,-3.747,1.63,7.75,-3.755,62188681.7,294891818.1,-3.742,62188681.7,293703418.1,-3.723
9,0,optimal_fw,0.001,8,100,10,10,piece-wise,104827,70374.28609378308,0.329,1.63,1.1,0.325,62188681.7,43837033.65514126,0.295,62188681.7,43823318.88,0.295
