no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
50,10,heuristic,10,piece-wise,0.5,0.029,7.0,77115.0,188856.5,-1.455,2.135,5.244999999999999,-1.4555,30979540.1,98137600.95,-2.1635,30979540.1,97934750.95,-2.157
50,10,heuristic_fw,10,piece-wise,0.5,0.0015,7.0,77115.0,47541.997984497226,0.3835,2.135,1.315,0.384,30979540.1,24375827.970320426,0.2135,30979540.1,24373352.5,0.2135
50,10,optimal,10,piece-wise,0.5,11.1445,6.0,77115.0,168156.0,-1.1764999999999999,2.135,4.645,-1.1764999999999999,30979540.1,73332752.1,-1.3645,30979540.1,73215102.1,-1.3605
50,10,optimal_fw,10,piece-wise,0.5,0.002,6.0,77115.0,47106.06476484429,0.3895,2.135,1.3050000000000002,0.389,30979540.1,24374813.229824007,0.2135,30979540.1,24368459.71,0.214
100,10,heuristic,10,piece-wise,0.5,0.07200000000000001,9.5,105528.0,376959.0,-2.5685000000000002,1.575,5.6,-2.577,64435905.85,320746102.3,-3.9415,64435905.85,319400102.3,-3.9210000000000003
100,10,heuristic_fw,10,piece-wise,0.5,0.001,9.5,105528.0,73642.38238624766,0.3025,1.575,1.1,0.30000000000000004,64435905.85,46097649.22611864,0.28500000000000003,64435905.85,46081204.875,0.28500000000000003
100,10,optimal,10,piece-wise,0.5,21.7705,8.0,105528.0,597272.0,-4.653499999999999,1.575,8.875,-4.667,64435905.85,331665001.45000005,-4.1335,64435905.85,330328201.45000005,-4.1129999999999995
100,10,optimal_fw,10,piece-wise,0.5,0.001,8.0,105528.0,74093.3170838553,0.2985,1.575,1.11,0.29400000000000004,64435905.85,46062816.05726602,0.2855,64435905.85,46047353.815,0.2855
150,10,heuristic,10,piece-wise,0.5,0.136,9.5,158247.5,719096.0,-3.5055000000000005,1.4849999999999999,6.78,-3.5,104920882.95,540552153.5,-4.1445,104920882.95,538618503.5,-4.1259999999999994
150,10,heuristic_fw,10,piece-wise,0.5,0.001,9.5,158247.5,118609.27200050832,0.2495,1.4849999999999999,1.115,0.248,104920882.95,75263434.12495387,0.2775,104920882.95,75218232.56,0.2775
150,10,optimal,10,piece-wise,0.5,40.751000000000005,9.5,158247.5,909087.5,-4.7725,1.4849999999999999,8.49,-4.764,104920882.95,615897113.7,-4.8215,104920882.95,613255763.7,-4.797000000000001
150,10,optimal_fw,10,piece-wise,0.5,0.001,9.5,158247.5,119889.47300693073,0.24100000000000002,1.4849999999999999,1.12,0.244,104920882.95,75417668.32369757,0.276,104920882.95,75393475.99,0.276
200,10,heuristic,10,piece-wise,0.5,0.12,9.5,249574.0,1714154.0,-6.769,1.635,11.205,-6.7815,133249641.5,744421122.25,-4.281499999999999,133249641.5,739838922.25,-4.25
200,10,heuristic_fw,10,piece-wise,0.5,0.001,9.5,249574.0,182369.2966508685,0.2475,1.635,1.1949999999999998,0.247,133249641.5,110459859.71385318,0.1635,133249641.5,110420834.265,0.1635
200,10,optimal,10,piece-wise,0.5,41.965,8.5,249574.0,1572454.0,-6.114999999999999,1.635,10.280000000000001,-6.128,133249641.5,741722063.6,-4.255,133249641.5,737745163.6,-4.2285
200,10,optimal_fw,10,piece-wise,0.5,0.001,8.5,249574.0,182378.08103967103,0.246,1.635,1.2,0.242,133249641.5,110675904.03178127,0.162,133249641.5,110644737.295,0.1625
