,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.028,7,50,10,10,piece-wise,70441,172094.0,-1.443,1.91,4.67,-1.445,30298794.7,65857170.6,-1.174,30298794.7,65680770.6,-1.168
heuristic_fw,0.001,7,50,10,10,piece-wise,70441,42912.49897059555,0.391,1.91,1.16,0.393,30298794.7,24887919.6883352,0.179,30298794.7,24885850.37,0.179
