,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.154,11,100,10,10,piece-wise,129620,312249.0,-1.409,1.67,4.02,-1.407,66435206.4,208221215.4,-2.134,66435206.4,207703215.4,-2.126
heuristic_fw,0.002,11,100,10,10,piece-wise,129620,86130.40337404703,0.336,1.67,1.11,0.335,66435206.4,52898826.278781064,0.204,66435206.4,52893149.19,0.204
