,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.152,6,100,10,10,piece-wise,131307,465918.0,-2.548,1.75,6.2,-2.543,60734753.5,208048529.1,-2.426,60734753.5,207395129.1,-2.415
heuristic_fw,0.003,6,100,10,10,piece-wise,131307,88158.31786951095,0.329,1.75,1.17,0.331,60734753.5,51024019.85435476,0.16,60734753.5,51009240.99,0.16
