,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,904.422,6,2000,5,1,piece-wise,1054447,24445611.0,-22.183,1.29,29.97,-22.233,627210844.6,7921599077.2,-11.63,627210844.6,7918270717.2,-11.625
1,0,optimal_fw,0.001,6,2000,5,1,piece-wise,1054447,997714.3382014029,0.054,1.29,1.22,0.054,627210844.6,591358935.2970031,0.057,627210844.6,591340041.07,0.057
2,0,heuristic,0.762,6,2000,5,1,piece-wise,1054447,20900671.0,-18.821,1.29,25.63,-18.868,627210844.6,7594015480.8,-11.108,627210844.6,7591018776.8,-11.103
3,0,heuristic_fw,0.001,6,2000,5,1,piece-wise,1054447,997791.8017572019,0.054,1.29,1.22,0.054,627210844.6,591478035.9118558,0.057,627210844.6,591439288.92,0.057
4,1,optimal,1184.83,3,2000,5,1,piece-wise,1108768,24983087.0,-21.532,1.36,30.67,-21.551,602305689.6,7685799798.0,-11.761,602305689.6,7683038810.0,-11.756
5,1,optimal_fw,0.001,3,2000,5,1,piece-wise,1108768,1060781.2867206403,0.043,1.36,1.3,0.044,602305689.6,582121678.051553,0.034,602305689.6,582102134.92,0.034
6,1,heuristic,0.762,3,2000,5,1,piece-wise,1108768,21642871.0,-18.52,1.36,26.57,-18.537,602305689.6,7108237542.0,-10.802,602305689.6,7106030425.0,-10.798
7,1,heuristic_fw,0.001,3,2000,5,1,piece-wise,1108768,1061140.3591243525,0.043,1.36,1.3,0.044,602305689.6,582373664.7174201,0.033,602305689.6,582328331.57,0.033
8,2,optimal,590.829,7,2000,5,1,piece-wise,1095791,13379790.0,-11.21,1.37,16.68,-11.175,608148386.3,6035875695.9,-8.925,608148386.3,6034791243.9,-8.923
9,2,optimal_fw,0.001,7,2000,5,1,piece-wise,1095791,1001979.2202364133,0.086,1.37,1.25,0.088,608148386.3,566974241.5985864,0.068,608148386.3,566952010.81,0.068
10,2,heuristic,0.797,8,2000,5,1,piece-wise,1095791,16195321.0,-13.78,1.37,20.18,-13.73,608148386.3,6701099182.4,-10.019,608148386.3,6699624670.4,-10.016
11,2,heuristic_fw,0.001,8,2000,5,1,piece-wise,1095791,987954.6027254194,0.098,1.37,1.23,0.102,608148386.3,564351815.5645479,0.072,608148386.3,564321810.31,0.072
12,3,optimal,604.418,5,2000,5,1,piece-wise,1110235,22234949.0,-19.027,1.36,27.18,-18.985,609645899.6,7419956138.0,-11.171,609645899.6,7417699851.0,-11.167
13,3,optimal_fw,0.001,5,2000,5,1,piece-wise,1110235,1038945.2548226997,0.064,1.36,1.27,0.066,609645899.6,580245086.3024158,0.048,609645899.6,580221089.77,0.048
14,3,heuristic,0.766,4,2000,5,1,piece-wise,1110235,21528731.0,-18.391,1.36,26.32,-18.353,609645899.6,6868967744.2,-10.267,609645899.6,6866313894.2,-10.263
15,3,heuristic_fw,0.001,4,2000,5,1,piece-wise,1110235,1062319.0769203887,0.043,1.36,1.3,0.044,609645899.6,586218514.5091937,0.038,609645899.6,586186056.7,0.038
16,4,optimal,689.79,6,2000,5,1,piece-wise,1021789,11760661.0,-10.51,1.25,14.41,-10.528,661129119.7,7686849193.3,-10.627,661129119.7,7684909844.3,-10.624
17,4,optimal_fw,0.001,6,2000,5,1,piece-wise,1021789,954244.8695378328,0.066,1.25,1.17,0.064,661129119.7,604592977.9245864,0.086,661129119.7,604569063.75,0.086
18,4,heuristic,0.74,5,2000,5,1,piece-wise,1021789,17640270.0,-16.264,1.25,21.61,-16.288,661129119.7,7324896039.4,-10.079,661129119.7,7322119278.4,-10.075
19,4,heuristic_fw,0.001,5,2000,5,1,piece-wise,1021789,956454.7663611933,0.064,1.25,1.17,0.064,661129119.7,606592916.9317092,0.082,661129119.7,606549591.02,0.083
20,0,optimal,1500.915,4,4000,5,1,piece-wise,2047191,47048640.0,-21.982,1.27,29.12,-21.929,1260695449.9,15538135840.6,-11.325,1260695449.9,15532389735.6,-11.32
21,0,optimal_fw,0.001,4,4000,5,1,piece-wise,2047191,1980374.102521779,0.033,1.27,1.23,0.031,1260695449.9,1205912534.7188683,0.043,1260695449.9,1205859837.55,0.043
22,0,heuristic,0.463,4,4000,5,1,piece-wise,2047191,41888595.0,-19.461,1.27,25.93,-19.417,1260695449.9,14489465340.1,-10.493,1260695449.9,14483261247.1,-10.488
23,0,heuristic_fw,0.001,4,4000,5,1,piece-wise,2047191,1980374.102521779,0.033,1.27,1.23,0.031,1260695449.9,1205130392.548489,0.044,1260695449.9,1205070107.65,0.044
24,1,optimal,1377.223,3,4000,5,1,piece-wise,1992508,49628034.0,-23.907,1.23,30.71,-23.967,1330409576.5,15798292970.4,-10.875,1330409576.5,15792406776.4,-10.87
25,1,optimal_fw,0.001,3,4000,5,1,piece-wise,1992508,1948913.917468,0.022,1.23,1.21,0.016,1330409576.5,1275181477.636964,0.042,1330409576.5,1275114290.96,0.042
26,1,heuristic,0.892,3,4000,5,1,piece-wise,1992508,42442902.0,-20.301,1.23,26.26,-20.35,1330409576.5,14649962090.2,-10.012,1330409576.5,14644495216.2,-10.008
27,1,heuristic_fw,0.001,3,4000,5,1,piece-wise,1992508,1948913.917468,0.022,1.23,1.21,0.016,1330409576.5,1273456810.258051,0.043,1330409576.5,1273389120.86,0.043
28,2,optimal,2413.802,4,4000,5,1,piece-wise,2138711,47979534.0,-21.434,1.31,29.49,-21.511,1223381969.5,15664620167.8,-11.804,1223381969.5,15658029173.8,-11.799
29,2,optimal_fw,0.001,4,4000,5,1,piece-wise,2138711,2068907.042468659,0.033,1.31,1.27,0.031,1223381969.5,1185299411.5919566,0.031,1223381969.5,1185228707.45,0.031
30,2,heuristic,0.538,6,4000,5,1,piece-wise,2138711,36101885.0,-15.88,1.31,22.19,-15.939,1223381969.5,13484544978.0,-10.022,1223381969.5,13481254098.0,-10.02
