no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
2000,5,heuristic,1,piece-wise,2.0,0.7654,5.2,1078206.0,19581572.8,-17.1552,1.326,24.061999999999998,-17.1552,621687987.96,7119443197.759999,-10.455,621687987.96,7117021408.959999,-10.450999999999999
2000,5,heuristic_fw,1,piece-wise,2.0,0.001,5.2,1078206.0,1013132.1213777112,0.060399999999999995,1.326,1.244,0.0616,621687987.96,586202989.5269454,0.05639999999999999,621687987.96,586165015.704,0.0566
2000,5,optimal,1,piece-wise,2.0,794.8578,5.4,1078206.0,19360819.6,-16.892400000000002,1.326,23.782,-16.8944,621687987.96,7350015980.4800005,-10.8228,621687987.96,7347742093.280001,-10.819
2000,5,optimal_fw,1,piece-wise,2.0,0.001,5.4,1078206.0,1010732.9939037978,0.0626,1.326,1.242,0.0632,621687987.96,585058583.834829,0.058600000000000006,621687987.96,585036868.0639999,0.058600000000000006
4000,5,heuristic,1,piece-wise,2.0,0.7788,4.6,2056330.8,39384417.8,-18.174200000000003,1.27,24.324,-18.1734,1274320447.22,14414763266.62,-10.312999999999999,1274320447.22,14410220003.02,-10.3096
4000,5,heuristic_fw,1,piece-wise,2.0,0.001,4.6,2056330.8,1970401.318316081,0.0418,1.27,1.218,0.040600000000000004,1274320447.22,1208612284.7317755,0.0516,1274320447.22,1208556826.546,0.0516
4000,5,optimal,1,piece-wise,2.0,1895.5306000000005,3.2,2056330.8,48423190.0,-22.5654,1.27,29.909999999999997,-22.5664,1274320447.22,15608089866.36,-11.256199999999998,1274320447.22,15601840097.36,-11.251
4000,5,optimal_fw,1,piece-wise,2.0,0.001,3.2,2056330.8,2001922.3786604877,0.026599999999999995,1.27,1.238,0.025,1274320447.22,1227736077.4324737,0.0366,1274320447.22,1227654011.498,0.0366
6000,5,heuristic,1,piece-wise,2.0,1.2108,4.2,3113178.8,60222834.4,-18.3514,1.286,24.862000000000002,-18.337600000000002,1896145251.7,21585929752.74,-10.400400000000001,1896145251.7,21577335100.54,-10.3958
6000,5,heuristic_fw,1,piece-wise,2.0,0.001,4.2,3113178.8,3005880.6014466044,0.0346,1.286,1.2419999999999998,0.034199999999999994,1896145251.7,1808458980.7755542,0.0456,1896145251.7,1808372976.5219998,0.0456
6000,5,optimal,1,piece-wise,2.0,3290.4730000000004,3.8,3113178.8,61142331.4,-18.6818,1.286,25.232,-18.664,1896145251.7,23508196833.68,-11.4084,1896145251.7,23499365884.28,-11.4038
6000,5,optimal_fw,1,piece-wise,2.0,0.001,3.8,3113178.8,3017541.047451517,0.0306,1.286,1.246,0.0308,1896145251.7,1819080865.9002209,0.04,1896145251.7,1818991979.428,0.0402
8000,5,heuristic,1,piece-wise,2.0,0.5478,3.2,3887103.8,83944730.2,-20.616799999999998,1.198,25.869999999999997,-20.6188,2827610169.1600003,30311072054.6,-9.7478,2827610169.1600003,30298048798.8,-9.7432
8000,5,heuristic_fw,1,piece-wise,2.0,0.001,3.2,3887103.8,3793235.7360774204,0.0242,1.198,1.168,0.0248,2827610169.1600003,2665809841.291838,0.056400000000000006,2827610169.1600003,2665669362.962,0.056400000000000006
8000,5,optimal,1,piece-wise,2.0,4663.6568,3.0,3887103.8,96575575.8,-23.8686,1.198,29.762,-23.8696,2827610169.1600003,31656236453.52,-10.2264,2827610169.1600003,31642945412.52,-10.2218
8000,5,optimal_fw,1,piece-wise,2.0,0.001,3.0,3887103.8,3801545.0998471132,0.021999999999999995,1.198,1.172,0.0216,2827610169.1600003,2688114087.965406,0.0488,2827610169.1600003,2687978905.254,0.0488
10000,5,heuristic,1,piece-wise,2.0,0.5246,4.0,4864976.0,105097298.6,-20.6298,1.202,25.974,-20.6372,3461757291.1,37798975518.659996,-9.948400000000001,3461757291.1,37783847076.659996,-9.944199999999999
10000,5,heuristic_fw,1,piece-wise,2.0,0.001,4.0,4864976.0,4705229.32827386,0.0328,1.202,1.162,0.0334,3461757291.1,3237740696.9737487,0.064,3461757291.1,3237589021.5339994,0.0644
10000,5,optimal,1,piece-wise,2.0,4222.6885999999995,3.0,4864976.0,120585479.0,-23.799599999999998,1.202,29.810000000000002,-23.809199999999997,3461757291.1,39913367673.079994,-10.552200000000001,3461757291.1,39897534098.87999,-10.5478
10000,5,optimal_fw,1,piece-wise,2.0,0.001,3.0,4864976.0,4757018.961566636,0.0224,1.202,1.176,0.0218,3461757291.1,3302704910.11208,0.0456,3461757291.1,3302533119.748,0.0456
