,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,16.005,2,50,5,50,piece-wise,41558,41558.0,0.0,2.24,2.24,0.0,12533085.2,12533085.2,0.0,12533085.2,12533085.2,0.0
optimal_fw,0.015,2,50,5,50,piece-wise,41558,30760.32473113919,0.26,2.24,1.66,0.259,12533085.2,12460865.184942972,0.006,12533085.2,12454793.98,0.006
heuristic,0.049,2,50,5,50,piece-wise,41558,41558.0,0.0,2.24,2.24,0.0,12533085.2,12538162.2,-0.0,12533085.2,12533362.2,-0.0
heuristic_fw,0.015,2,50,5,50,piece-wise,41558,31399.99,0.244,2.24,1.7,0.241,12533085.2,12462914.654683474,0.006,12533085.2,12455971.1,0.006
