no_households,no_tasks,algorithm,penalty_weight,cost_function_type,Average run_time,No_iterations,max_demand initial,max_demand final,PAR initial,PAR final,objective initial,objective final,cost initial,cost final
20,5,heuristic,1,piece-wise,0.002,4.0,30577.5,32782.5,3.27,3.505,7519164.6,6586874.0,7519164.6,6586594.0
20,5,heuristic_fw,1,piece-wise,0.002,4.0,30577.5,18824.96205716168,3.27,2.01,7519164.6,6593443.847502209,7519164.6,6593437.385
20,5,optimal,1,piece-wise,2.9425,3.0,30577.5,52293.0,3.27,5.76,7519164.6,6586768.5,7519164.6,6586594.0
20,5,optimal_fw,1,piece-wise,0.002,3.0,30577.5,21351.96232841447,3.27,2.34,7519164.6,6606655.606887201,7519164.6,6606620.890000001
40,5,heuristic,1,piece-wise,0.0005,5.5,38336.5,49494.5,2.43,3.135,11756458.649999999,10605076.5,11756458.649999999,10604774.0
40,5,heuristic_fw,1,piece-wise,0.0015,5.5,38336.5,24824.39896047087,2.43,1.57,11756458.649999999,10625227.43063702,11756458.649999999,10625225.355
40,5,optimal,1,piece-wise,7.1354999999999995,4.5,38336.5,53131.0,2.43,3.36,11756458.649999999,10605009.0,11756458.649999999,10604776.0
40,5,optimal_fw,1,piece-wise,0.0015,4.5,38336.5,24415.542593343976,2.43,1.545,11756458.649999999,10626165.808228623,11756458.649999999,10626141.690000001
60,5,heuristic,1,piece-wise,0.0,6.5,50346.0,70840.5,2.305,3.335,16677965.05,14605549.0,16677965.05,14604451.0
60,5,heuristic_fw,1,piece-wise,0.0015,6.5,50346.0,31931.573825122552,2.305,1.4649999999999999,16677965.05,14637249.785119154,16677965.05,14637183.71
60,5,optimal,1,piece-wise,8.3695,6.0,50346.0,79774.0,2.305,3.8049999999999997,16677965.05,14605281.5,16677965.05,14604458.0
60,5,optimal_fw,1,piece-wise,0.0015,6.0,50346.0,32188.19458901296,2.305,1.475,16677965.05,14635334.157463007,16677965.05,14635280.445
