repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,3.25,4,5,1,piece-wise,33035,50383.0,-52.50%,2.69,4.1,-52.40%,9390442.4,8266919.0,12.00%,9390442.4,8266762.0,12.00%
0,20,optimal_fw,0.003,4,5,1,piece-wise,33035,21108.11590397895,36.10%,2.69,1.72,36.10%,9390442.4,8279307.3137744,11.80%,9390442.4,8279303.16,11.80%
0,20,heuristic,0.0,4,5,1,piece-wise,33035,35500.0,-7.50%,2.69,2.89,-7.40%,9390442.4,8266839.0,12.00%,9390442.4,8266762.0,12.00%
0,20,heuristic_fw,0.002,4,5,1,piece-wise,33035,20484.835906265707,38.00%,2.69,1.67,37.90%,9390442.4,8277399.694768146,11.90%,9390442.4,8277396.94,11.90%
1,20,optimal,2.635,2,5,1,piece-wise,28120,54203.0,-92.80%,3.85,7.42,-92.70%,5647886.8,4906618.0,13.10%,5647886.8,4906426.0,13.10%
1,20,optimal_fw,0.001,2,5,1,piece-wise,28120,21595.808752849993,23.20%,3.85,2.96,23.10%,5647886.8,4934003.9,12.60%,5647886.8,4933938.62,12.60%
1,20,heuristic,0.004,4,5,1,piece-wise,28120,30065.0,-6.90%,3.85,4.12,-7.00%,5647886.8,4906909.0,13.10%,5647886.8,4906426.0,13.10%
1,20,heuristic_fw,0.002,4,5,1,piece-wise,28120,17165.088208057652,39.00%,3.85,2.35,39.00%,5647886.8,4909488.000236272,13.10%,5647886.8,4909477.83,13.10%
0,40,optimal,5.475,4,5,1,piece-wise,37323,47312.0,-26.80%,2.41,3.05,-26.60%,11653986.1,10412213.0,10.70%,11653986.1,10412118.0,10.70%
0,40,optimal_fw,0.002,4,5,1,piece-wise,37323,23581.12993554775,36.80%,2.41,1.52,36.90%,11653986.1,10429703.924020352,10.50%,11653986.1,10429697.3,10.50%
0,40,heuristic,0.0,4,5,1,piece-wise,37323,47765.0,-28.00%,2.41,3.08,-27.80%,11653986.1,10412260.0,10.70%,11653986.1,10412118.0,10.70%
0,40,heuristic_fw,0.002,4,5,1,piece-wise,37323,23936.23022276971,35.90%,2.41,1.54,36.10%,11653986.1,10427708.49448112,10.50%,11653986.1,10427708.33,10.50%
1,40,optimal,8.796,5,5,1,piece-wise,39350,58950.0,-49.80%,2.45,3.67,-49.80%,11858931.2,10797805.0,8.90%,11858931.2,10797434.0,9.00%
1,40,optimal_fw,0.001,5,5,1,piece-wise,39350,25249.955251140207,35.80%,2.45,1.57,35.90%,11858931.2,10822627.692436893,8.70%,11858931.2,10822586.08,8.70%
1,40,heuristic,0.001,7,5,1,piece-wise,39350,51224.0,-30.20%,2.45,3.19,-30.20%,11858931.2,10797893.0,8.90%,11858931.2,10797430.0,9.00%
1,40,heuristic_fw,0.001,7,5,1,piece-wise,39350,25712.567698172028,34.70%,2.45,1.6,34.70%,11858931.2,10822746.36679292,8.70%,11858931.2,10822742.38,8.70%
0,60,optimal,6.607,3,5,1,piece-wise,57954,57253.0,1.20%,2.43,2.4,1.20%,18013357.8,16008398.0,11.10%,18013357.8,16008398.0,11.10%
0,60,optimal_fw,0.002,3,5,1,piece-wise,57954,36223.888311446,37.50%,2.43,1.52,37.40%,18013357.8,16021740.337599998,11.10%,18013357.8,16021659.37,11.10%
0,60,heuristic,0.0,3,5,1,piece-wise,57954,60354.0,-4.10%,2.43,2.53,-4.10%,18013357.8,16008537.0,11.10%,18013357.8,16008398.0,11.10%
0,60,heuristic_fw,0.002,3,5,1,piece-wise,57954,36238.36653793431,37.50%,2.43,1.52,37.40%,18013357.8,16025255.75145,11.00%,18013357.8,16025169.27,11.00%
1,60,optimal,10.132,9,5,1,piece-wise,42738,102295.0,-139.40%,2.18,5.21,-139.00%,15342572.3,13202165.0,14.00%,15342572.3,13200518.0,14.00%
1,60,optimal_fw,0.001,9,5,1,piece-wise,42738,28152.500866579925,34.10%,2.18,1.43,34.40%,15342572.3,13248927.977326013,13.60%,15342572.3,13248901.52,13.60%
1,60,heuristic,0.0,10,5,1,piece-wise,42738,81327.0,-90.30%,2.18,4.14,-89.90%,15342572.3,13202561.0,13.90%,15342572.3,13200504.0,14.00%
1,60,heuristic_fw,0.001,10,5,1,piece-wise,42738,27624.781112310797,35.40%,2.18,1.41,35.30%,15342572.3,13249243.818788305,13.60%,15342572.3,13249198.15,13.60%
