,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.029,8,10,10,piece-wise,67985,234346.0,-2.447,1.73,5.97,-2.451,32642670.5,138929311.4,-3.256,32642670.5,138494511.4,-3.243
heuristic_fw,0.001,8,10,10,piece-wise,67985,46640.18627650782,0.314,1.73,1.19,0.312,32642670.5,26688594.38947305,0.182,32642670.5,26683030.26,0.183
