,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,5.81,6,20,5,1,piece-wise,25241,25241.0,0.0,3.38,3.38,0.0,5891100.9,5963786.9,-0.012,5891100.9,5963650.9,-0.012
1,0,optimal_fw,0.01,6,20,5,1,piece-wise,25241,15913.91786739553,0.37,3.38,2.13,0.37,5891100.9,5020126.229542397,0.148,5891100.9,5020121.04,0.148
2,0,heuristic,0.018,6,20,5,1,piece-wise,25241,25241.0,0.0,3.38,3.38,0.0,5891100.9,5963802.9,-0.012,5891100.9,5963650.9,-0.012
3,0,heuristic_fw,0.01,6,20,5,1,piece-wise,25241,15913.91786739552,0.37,3.38,2.13,0.37,5891100.9,5020127.320002835,0.148,5891100.9,5020121.75,0.148
4,1,optimal,5.958,4,20,5,1,piece-wise,26200,24232.0,0.075,3.33,3.08,0.075,6027807.7,5636406.0,0.065,6027807.7,5636315.0,0.065
5,1,optimal_fw,0.016,4,20,5,1,piece-wise,26200,16535.015693300847,0.369,3.33,2.1,0.369,6027807.7,5292430.00535241,0.122,6027807.7,5292412.86,0.122
6,1,heuristic,0.019,4,20,5,1,piece-wise,26200,24232.0,0.075,3.33,3.08,0.075,6027807.7,5636425.0,0.065,6027807.7,5636315.0,0.065
7,1,heuristic_fw,0.016,4,20,5,1,piece-wise,26200,16568.186140353213,0.368,3.33,2.11,0.366,6027807.7,5292288.69656211,0.122,6027807.7,5292269.88,0.122
8,0,optimal,11.183,4,40,5,1,piece-wise,47360,55275.0,-0.167,2.82,3.29,-0.167,13729630.4,15929522.8,-0.16,13729630.4,15929352.8,-0.16
9,0,optimal_fw,0.017,4,40,5,1,piece-wise,47360,30332.3381747728,0.36,2.82,1.8,0.362,13729630.4,11322753.541881315,0.175,13729630.4,11322737.05,0.175
10,0,heuristic,0.038,4,40,5,1,piece-wise,47360,55275.0,-0.167,2.82,3.29,-0.167,13729630.4,15929562.8,-0.16,13729630.4,15929352.8,-0.16
11,0,heuristic_fw,0.016,4,40,5,1,piece-wise,47360,30210.945000053198,0.362,2.82,1.8,0.362,13729630.4,11323116.877344849,0.175,13729630.4,11323101.09,0.175
12,1,optimal,11.61,3,40,5,1,piece-wise,58990,58990.0,0.0,3.41,3.41,0.0,12649747.6,12649747.6,0.0,12649747.6,12649747.6,0.0
13,1,optimal_fw,0.008,3,40,5,1,piece-wise,58990,35999.99,0.39,3.41,2.08,0.39,12649747.6,11644086.602162868,0.08,12649747.6,11644058.76,0.08
14,1,heuristic,0.038,3,40,5,1,piece-wise,58990,58990.0,0.0,3.41,3.41,0.0,12649747.6,12649072.6,0.0,12649747.6,12648977.6,0.0
15,1,heuristic_fw,0.009,3,40,5,1,piece-wise,58990,35207.0,0.403,3.41,2.03,0.405,12649747.6,11640478.842566235,0.08,12649747.6,11640430.94,0.08
16,0,optimal,17.976,5,60,5,1,piece-wise,47781,54547.0,-0.142,2.18,2.49,-0.142,15764122.3,17250608.5,-0.094,15764122.3,17250468.5,-0.094
17,0,optimal_fw,0.018,5,60,5,1,piece-wise,47781,30636.9387486719,0.359,2.18,1.4,0.358,15764122.3,14745981.586868651,0.065,15764122.3,14745980.16,0.065
18,0,heuristic,0.057,6,60,5,1,piece-wise,47781,49908.0,-0.045,2.18,2.28,-0.046,15764122.3,16965389.3,-0.076,15764122.3,16965095.3,-0.076
19,0,heuristic_fw,0.014,6,60,5,1,piece-wise,47781,30217.438373722878,0.368,2.18,1.38,0.367,15764122.3,14747374.522754714,0.064,15764122.3,14747370.96,0.064
20,1,optimal,24.175,4,60,5,1,piece-wise,63654,63654.0,0.0,2.45,2.45,0.0,18789921.8,18789921.8,0.0,18789921.8,18789921.8,0.0
21,1,optimal_fw,0.009,4,60,5,1,piece-wise,63654,38936.39209423197,0.388,2.45,1.5,0.388,18789921.8,17452869.016396996,0.071,18789921.8,17452847.69,0.071
22,1,heuristic,0.056,5,60,5,1,piece-wise,63654,63654.0,0.0,2.45,2.45,0.0,18789921.8,18798627.5,-0.0,18789921.8,18798439.5,-0.0
23,1,heuristic_fw,0.007,5,60,5,1,piece-wise,63654,40099.99,0.37,2.45,1.54,0.371,18789921.8,17453367.63118805,0.071,18789921.8,17453363.3,0.071
24,0,optimal,37.751,14,80,5,1,piece-wise,76817,85255.0,-0.11,2.24,2.48,-0.107,25706360.0,30707724.3,-0.195,25706360.0,30707506.3,-0.195
25,0,optimal_fw,0.007,14,80,5,1,piece-wise,76817,48765.64121705379,0.365,2.24,1.42,0.366,25706360.0,23104773.799827617,0.101,25706360.0,23104769.64,0.101
26,0,heuristic,0.076,5,80,5,1,piece-wise,76817,96843.0,-0.261,2.24,2.82,-0.259,25706360.0,31471636.8,-0.224,25706360.0,31471081.8,-0.224
27,0,heuristic_fw,0.015,5,80,5,1,piece-wise,76817,48762.37341759386,0.365,2.24,1.42,0.366,25706360.0,23111840.092264704,0.101,25706360.0,23111667.16,0.101
28,1,optimal,91.014,7,80,5,1,piece-wise,62804,94255.0,-0.501,2.26,3.39,-0.5,20827427.4,29218740.9,-0.403,20827427.4,29218108.9,-0.403
29,1,optimal_fw,0.011,7,80,5,1,piece-wise,62804,40130.131096708894,0.361,2.26,1.45,0.358,20827427.4,18690707.548188593,0.103,20827427.4,18690702.67,0.103
30,1,heuristic,0.075,5,80,5,1,piece-wise,62804,85405.0,-0.36,2.26,3.08,-0.363,20827427.4,26653827.4,-0.28,20827427.4,26653288.4,-0.28
31,1,heuristic_fw,0.014,5,80,5,1,piece-wise,62804,39610.287858469164,0.369,2.26,1.43,0.367,20827427.4,18690511.917610094,0.103,20827427.4,18690500.48,0.103
32,0,optimal,32.743,3,100,5,1,piece-wise,99224,99224.0,0.0,2.58,2.58,0.0,27542637.6,27542637.6,0.0,27542637.6,27542637.6,0.0
33,0,optimal_fw,0.011,3,100,5,1,piece-wise,99224,62287.07617754942,0.372,2.58,1.62,0.372,27542637.6,25882020.1542023,0.06,27542637.6,25881893.06,0.06
34,0,heuristic,0.102,3,100,5,1,piece-wise,99224,99224.0,0.0,2.58,2.58,0.0,27542637.6,27542959.6,-0.0,27542637.6,27542637.6,0.0
35,0,heuristic_fw,0.011,3,100,5,1,piece-wise,99224,62189.59070204227,0.373,2.58,1.62,0.372,27542637.6,25882220.78504918,0.06,27542637.6,25882051.4,0.06
