no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
20,5,heuristic,1,piece-wise,0.5,0.0185,5.0,25720.5,24736.5,0.0375,3.355,3.23,0.0375,5959454.300000001,5800113.95,0.026500000000000003,5959454.300000001,5799982.95,0.026500000000000003
20,5,heuristic_fw,1,piece-wise,0.5,0.013000000000000001,5.0,25720.5,16241.052003874367,0.369,3.355,2.12,0.368,5959454.300000001,5156208.008282473,0.135,5959454.300000001,5156195.8149999995,0.135
20,5,optimal,1,piece-wise,0.5,5.884,5.0,25720.5,24736.5,0.0375,3.355,3.23,0.0375,5959454.300000001,5800096.45,0.026500000000000003,5959454.300000001,5799982.95,0.026500000000000003
20,5,optimal_fw,1,piece-wise,0.5,0.013000000000000001,5.0,25720.5,16224.46678034819,0.3695,3.355,2.115,0.3695,5959454.300000001,5156278.117447403,0.135,5959454.300000001,5156266.95,0.135
40,5,heuristic,1,piece-wise,0.5,0.038,3.5,53175.0,57132.5,-0.0835,3.115,3.35,-0.0835,13189689.0,14289317.7,-0.08,13189689.0,14289165.2,-0.08
40,5,heuristic_fw,1,piece-wise,0.5,0.0125,3.5,53175.0,32708.972500026597,0.3825,3.115,1.915,0.3835,13189689.0,11481797.859955542,0.1275,13189689.0,11481766.015,0.1275
40,5,optimal,1,piece-wise,0.5,11.3965,3.5,53175.0,57132.5,-0.0835,3.115,3.35,-0.0835,13189689.0,14289635.2,-0.08,13189689.0,14289550.2,-0.08
40,5,optimal_fw,1,piece-wise,0.5,0.0125,3.5,53175.0,33166.1640873864,0.375,3.115,1.94,0.376,13189689.0,11483420.072022092,0.1275,13189689.0,11483397.905000001,0.1275
60,5,heuristic,1,piece-wise,0.5,0.0565,5.5,55717.5,56781.0,-0.0225,2.3150000000000004,2.365,-0.023,17277022.05,17882008.4,-0.038,17277022.05,17881767.4,-0.038
60,5,heuristic_fw,1,piece-wise,0.5,0.0105,5.5,55717.5,35158.71418686144,0.369,2.3150000000000004,1.46,0.369,17277022.05,16100371.076971382,0.0675,17277022.05,16100367.13,0.0675
60,5,optimal,1,piece-wise,0.5,21.075499999999998,4.5,55717.5,59100.5,-0.071,2.3150000000000004,2.47,-0.071,17277022.05,18020265.15,-0.047,17277022.05,18020195.15,-0.047
60,5,optimal_fw,1,piece-wise,0.5,0.013499999999999998,4.5,55717.5,34786.66542145194,0.3735,2.3150000000000004,1.45,0.373,17277022.05,16099425.301632823,0.068,17277022.05,16099413.925,0.068
80,5,heuristic,1,piece-wise,0.5,0.0755,5.0,69810.5,91124.0,-0.3105,2.25,2.95,-0.311,23266893.7,29062732.1,-0.252,23266893.7,29062185.1,-0.252
80,5,heuristic_fw,1,piece-wise,0.5,0.014499999999999999,5.0,69810.5,44186.33063803151,0.367,2.25,1.4249999999999998,0.3665,23266893.7,20901176.0049374,0.10200000000000001,23266893.7,20901083.82,0.10200000000000001
80,5,optimal,1,piece-wise,0.5,64.3825,10.5,69810.5,89755.0,-0.3055,2.25,2.935,-0.3035,23266893.7,29963232.6,-0.29900000000000004,23266893.7,29962807.6,-0.29900000000000004
80,5,optimal_fw,1,piece-wise,0.5,0.009,10.5,69810.5,44447.886156881345,0.363,2.25,1.435,0.362,23266893.7,20897740.674008105,0.10200000000000001,23266893.7,20897736.155,0.10200000000000001
100,5,heuristic,1,piece-wise,0.0,0.102,3.0,99224.0,99224.0,0.0,2.58,2.58,0.0,27542637.6,27542959.6,0.0,27542637.6,27542637.6,0.0
100,5,heuristic_fw,1,piece-wise,0.0,0.011,3.0,99224.0,62189.59070204227,0.373,2.58,1.62,0.372,27542637.6,25882220.78504918,0.06,27542637.6,25882051.4,0.06
100,5,optimal,1,piece-wise,0.0,32.743,3.0,99224.0,99224.0,0.0,2.58,2.58,0.0,27542637.6,27542637.6,0.0,27542637.6,27542637.6,0.0
100,5,optimal_fw,1,piece-wise,0.0,0.011,3.0,99224.0,62287.07617754942,0.372,2.58,1.62,0.372,27542637.6,25882020.1542023,0.06,27542637.6,25881893.06,0.06
