,0,1,2,3
inconvenient,0.0,80.08000000000001,-2.471040000000001,-2.471040000000001
PAR,4.8,3.26,2.98,2.98
max_demand,36740.0,24930.798054600375,22805.846317480304,22805.846317480304
run_time,0.0,0.0024268627166748047,0.0007297992706298828,0.0001430511474609375
cost,5757776.4,5146984.3,5145236.62,5145236.62
step_size,1.0,0.56,0.088,0.0
total_demand,367247.0,367246.99999999994,367247.00000000006,367247.00000000006
objective,5757776.4,5147064.38,5145234.14896,5145234.14896
