,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.157,8,100,10,10,piece-wise,122080,675634.0,-4.534,1.62,8.99,-4.549,62667614.2,365348439.9,-4.83,62667614.2,363596339.9,-4.802
heuristic_fw,0.002,8,100,10,10,piece-wise,122080,88237.76631189033,0.277,1.62,1.17,0.278,62667614.2,51483566.05116128,0.178,62667614.2,51443055.52,0.179
