,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,1215.271,27,5000,5,1,piece-wise,2449363,3672134.0,-0.499,1.22,1.82,-0.492,1641650390.2,13520658111.3,-7.236,1641650390.2,13520601462.3,-7.236
optimal_fw,0.007,27,5000,5,1,piece-wise,2449363,2066197.7919586352,0.156,1.22,1.03,0.156,1641650390.2,1490438162.0003605,0.092,1641650390.2,1490438126.79,0.092
heuristic,3.157,24,5000,5,1,piece-wise,2449363,17613786.0,-6.191,1.22,8.75,-6.172,1641650390.2,69882030316.9,-41.568,1641650390.2,69878270071.9,-41.566
heuristic_fw,0.007,24,5000,5,1,piece-wise,2449363,2075918.486285594,0.152,1.22,1.03,0.156,1641650390.2,1490496877.798935,0.092,1641650390.2,1490496747.49,0.092
