,0,1,2,3,4,5,6
max_demand,94265.0,72787.14918644786,64856.795055130424,59996.73513938569,57231.79684161886,56480.18168583619,56480.18168583619
total_demand,2156807.0,2156807.0,2156807.0,2156807.0000000005,2156807.0,2156806.9999999995,2156806.9999999995
cost,38937361.0,30927453.88,30410298.19,30333664.71,30312280.21,30308406.87,30308406.87
run_time,0.0,0.00446009635925293,0.002457141876220703,0.0014259815216064453,0.0009350776672363281,0.00036597251892089844,0.0001919269561767578
objective,38937361.0,31025782.08,30446676.544600002,30349229.419986602,30319870.703920644,30310595.203085113,30310595.203085113
PAR,2.1,1.62,1.44,1.34,1.27,1.26,1.26
inconvenient,0.0,98328.20000000003,36378.3546,15564.709986599999,7590.4939206432,2188.3330851109954,2188.3330851109954
step_size,1.0,0.25700000000000006,0.147,0.07899999999999999,0.048,0.014,0.0
