,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.139,9,100,10,10,piece-wise,113232,386602.0,-2.414,1.51,5.16,-2.417,67300212.8,359099459.0,-4.336,67300212.8,357928559.0,-4.318
heuristic_fw,0.002,9,100,10,10,piece-wise,113232,83632.6536189133,0.261,1.51,1.12,0.258,67300212.8,52109182.83127035,0.226,67300212.8,52095576.75,0.226
