,repeat,algorithm,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,702.696,7,2000,6,10,piece-wise,1250538,12832664.0,-9.262,1.31,13.4,-9.229,928140654.2,8136112457.2,-7.766,928140654.2,8064089657.2,-7.688
1,0,optimal_fw,0.001,7,2000,6,10,piece-wise,1250538,1156208.3220230357,0.075,1.31,1.21,0.076,928140654.2,782344249.6354426,0.157,928140654.2,781648178.03,0.158
2,0,heuristic,1.916,6,2000,6,10,piece-wise,1250538,10535781.0,-7.425,1.31,11.0,-7.397,928140654.2,7263927786.8,-6.826,928140654.2,7194683486.8,-6.752
3,0,heuristic_fw,0.001,6,2000,6,10,piece-wise,1250538,1143657.6519448592,0.085,1.31,1.19,0.092,928140654.2,776660538.1944078,0.163,928140654.2,775884892.4,0.164
4,1,optimal,677.123,6,2000,6,10,piece-wise,1306366,14101368.0,-9.794,1.4,15.11,-9.793,839310791.3,6718286189.0,-7.005,839310791.3,6672984289.0,-6.951
5,1,optimal_fw,0.001,6,2000,6,10,piece-wise,1306366,1129131.2534910478,0.136,1.4,1.21,0.136,839310791.3,686358076.1595272,0.182,839310791.3,685854958.56,0.183
6,1,heuristic,1.922,8,2000,6,10,piece-wise,1306366,13620487.0,-9.426,1.4,14.6,-9.429,839310791.3,6030045781.7,-6.185,839310791.3,5983903681.7,-6.13
7,1,heuristic_fw,0.001,8,2000,6,10,piece-wise,1306366,1116713.2302827872,0.145,1.4,1.2,0.143,839310791.3,682785842.4409671,0.186,839310791.3,682254516.54,0.187
8,0,optimal,1421.013,3,4000,6,10,piece-wise,2295606,46240855.0,-19.143,1.22,24.57,-19.139,2400065252.9,17339664639.9,-6.225,2400065252.9,17007168739.9,-6.086
9,0,optimal_fw,0.001,3,4000,6,10,piece-wise,2295606,2220708.1851711296,0.033,1.22,1.18,0.033,2400065252.9,2114427619.6738,0.119,2400065252.9,2110715485.8,0.121
