no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
2000,6,heuristic,10,piece-wise,0.5,1.919,7.0,1278452.0,12078134.0,-8.4255,1.355,12.8,-8.413,883725722.75,6646986784.25,-6.5055,883725722.75,6589293584.25,-6.441
2000,6,heuristic_fw,10,piece-wise,0.5,0.001,7.0,1278452.0,1130185.441113823,0.11499999999999999,1.355,1.1949999999999998,0.1175,883725722.75,729723190.3176875,0.1745,883725722.75,729069704.47,0.1755
2000,6,optimal,10,piece-wise,0.5,689.9095,6.5,1278452.0,13467016.0,-9.528,1.355,14.254999999999999,-9.511,883725722.75,7427199323.1,-7.3855,883725722.75,7368536973.1,-7.3195
2000,6,optimal_fw,10,piece-wise,0.5,0.001,6.5,1278452.0,1142669.7877570419,0.10550000000000001,1.355,1.21,0.10600000000000001,883725722.75,734351162.8974849,0.16949999999999998,883725722.75,733751568.295,0.17049999999999998
4000,6,heuristic,10,piece-wise,0.5,3.9205,4.5,2301693.5,33880689.5,-13.719999999999999,1.225,18.0,-13.6935,2334070607.2,15924940615.1,-5.833,2334070607.2,15701576015.1,-5.737
4000,6,heuristic_fw,10,piece-wise,0.5,0.001,4.5,2301693.5,2165096.8821074152,0.0595,1.225,1.15,0.0615,2334070607.2,1911338796.0375066,0.181,2334070607.2,1907767484.2350001,0.1825
4000,6,optimal,10,piece-wise,0.5,1452.3505,4.5,2301693.5,36875154.5,-15.031500000000001,1.225,19.595,-15.0125,2334070607.2,17179926870.75,-6.3645,2334070607.2,16915647970.75,-6.252000000000001
4000,6,optimal_fw,10,piece-wise,0.5,0.001,4.5,2301693.5,2189111.8732056534,0.049,1.225,1.165,0.049,2334070607.2,1965294164.9621944,0.159,2334070607.2,1962840718.7849998,0.1605
8000,6,heuristic,10,piece-wise,0.5,7.9795,4.0,4576661.5,80228452.5,-16.547,1.22,21.38,-16.5315,4378802749.2,33315316375.0,-6.614,4378802749.2,32729245675.0,-6.48
8000,6,heuristic_fw,10,piece-wise,0.5,0.001,4.0,4576661.5,4401049.391442327,0.038,1.22,1.1749999999999998,0.037000000000000005,4378802749.2,3880671726.179171,0.11449999999999999,4378802749.2,3874381419.515,0.11649999999999999
8000,6,optimal,10,piece-wise,0.5,2834.279,4.0,4576661.5,71736336.5,-14.719000000000001,1.22,19.134999999999998,-14.7035,4378802749.2,33820790030.15,-6.733499999999999,4378802749.2,33282997430.15,-6.611
8000,6,optimal_fw,10,piece-wise,0.5,0.001,4.0,4576661.5,4426689.8824064005,0.0325,1.22,1.18,0.033,4378802749.2,3930228070.992029,0.10300000000000001,4378802749.2,3923312928.405,0.10450000000000001
10000,6,heuristic,10,piece-wise,0.5,9.9305,3.0,5572481.0,95039254.0,-16.055,1.185,20.225,-16.069499999999998,6171389089.65,41668151637.100006,-5.7515,6171389089.65,40610840137.100006,-5.5805
10000,6,heuristic_fw,10,piece-wise,0.5,0.001,3.0,5572481.0,5543817.313611371,0.004999999999999999,1.185,1.18,0.0045000000000000005,6171389089.65,5631354316.525049,0.087,6171389089.65,5614342042.35,0.0905
10000,6,optimal,10,piece-wise,0.5,4111.985,2.5,5572481.0,114183100.0,-19.489,1.185,24.295,-19.512500000000003,6171389089.65,44872534455.55,-6.273,6171389089.65,43881417355.55,-6.112
10000,6,optimal_fw,10,piece-wise,0.5,0.0005,2.5,5572481.0,5481655.12638201,0.0165,1.185,1.165,0.017,6171389089.65,5789375074.714824,0.0615,6171389089.65,5784272461.735001,0.062
