no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,drop,Average run_time,No_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
100,10,heuristic,10,piece-wise,0,100,0.159,7,146684,320328.0,-1.184,1.94,4.25,-1.191,56745364.2,170355230.5,-2.002,56745364.2,170001930.5,-1.996
100,10,heuristic_fw,10,piece-wise,0,100,0.003,7,146684,92549.33782457018,0.369,1.94,1.23,0.366,56745364.2,50941141.01249396,0.102,56745364.2,50935927.32,0.102
