,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.036,3,50,10,10,piece-wise,120895,90740.0,0.249,3.43,2.58,0.248,28124174.6,23925174.3,0.149,28124174.6,23883674.3,0.151
heuristic_fw,0.002,3,50,10,10,piece-wise,120895,66398.69692674067,0.451,3.43,1.89,0.449,28124174.6,23676789.574899998,0.158,28124174.6,23671416.45,0.158
