,0,1,2,3,4,5,6,7,8,9,10,11,12
total_demand,3598701.0,3598700.9999999995,3598700.9999999995,3598701.0000000005,3598701.0000000005,3598701.0000000005,3598701.000000001,3598701.000000001,3598701.0,3598701.0000000005,3598700.9999999995,3598700.999999999,3598700.999999999
step_size,1.0,0.023,0.011,0.022,0.024,0.012,0.023,0.011,0.022,0.024,0.011,0.012,0.0
run_time,0.0,0.0005698204040527344,0.0004432201385498047,0.0008392333984375,0.0005588531494140625,0.0003802776336669922,0.0009829998016357422,0.0003807544708251953,0.0005588531494140625,0.0005578994750976562,0.0003871917724609375,0.00038504600524902344,0.0002262592315673828
max_demand,132680.0,129645.87376,128219.76914864,125414.4488194369,122422.56172840041,120953.4909876596,118187.52655575381,116887.46376364051,114330.08294395581,111602.62448524481,110374.99561590712,109050.49566851623,109050.49566851623
cost,55982695.4,54488594.24,53967963.17,53062235.75,52426056.11,52158732.61,51746284.7,51603633.1,51362774.16,51195121.32,51112049.29,51050876.18,51050876.18
objective,55982695.4,54488594.24,53967963.17,53062235.75,52426056.11,52158732.61,51746284.7,51603633.1,51362774.16,51195121.32,51112049.29,51050876.18,51050876.18
PAR,1.77,1.73,1.71,1.67,1.63,1.61,1.58,1.56,1.52,1.49,1.47,1.45,1.45
inconvenient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
