no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
50,5,heuristic,0,piece-wise,0,0.005,10,39526,44291.0,-0.121,2.04,2.29,-0.123,15131766.7,25968857.8,-0.716,15131766.7,25968857.8,-0.716
50,5,heuristic,1,piece-wise,0,0.002,7,39526,38450.0,0.027,2.04,1.99,0.025,15131766.7,14720772.9,0.027,15131766.7,14720370.9,0.027
50,5,heuristic,5,piece-wise,0,0.003,6,39526,43780.0,-0.108,2.04,2.26,-0.108,15131766.7,25310944.4,-0.673,15131766.7,25309749.4,-0.673
50,5,heuristic,10,piece-wise,0,0.003,4,39526,39526.0,0.0,2.04,2.04,0.0,15131766.7,14526016.3,0.04,15131766.7,14522206.3,0.04
50,5,heuristic,50,piece-wise,0,0.004,5,39526,43315.0,-0.096,2.04,2.24,-0.098,15131766.7,30206765.3,-0.996,15131766.7,30181215.3,-0.995
50,5,heuristic,100,piece-wise,0,0.003,6,39526,65515.0,-0.658,2.04,3.38,-0.657,15131766.7,124231184.6,-7.21,15131766.7,124186584.6,-7.207
50,5,heuristic,500,piece-wise,0,0.003,3,39526,48800.0,-0.235,2.04,2.52,-0.235,15131766.7,35716797.4,-1.36,15131766.7,35606797.4,-1.353
50,5,heuristic,1000,piece-wise,0,0.004,3,39526,39895.0,-0.009,2.04,2.06,-0.01,15131766.7,15622918.8,-0.032,15131766.7,15450918.8,-0.021
50,5,heuristic,5000,piece-wise,0,0.003,3,39526,39420.0,0.003,2.04,2.04,0.0,15131766.7,15722416.3,-0.039,15131766.7,14772416.3,0.024
50,5,heuristic,10000,piece-wise,0,0.003,3,39526,48800.0,-0.235,2.04,2.52,-0.235,15131766.7,37499098.9,-1.478,15131766.7,35609098.9,-1.353
50,5,heuristic_fw,0,piece-wise,0,0.03,10,39526,24872.710466707453,0.371,2.04,1.29,0.368,15131766.7,13017569.2,0.14,15131766.7,13017569.2,0.14
50,5,heuristic_fw,1,piece-wise,0,0.033,7,39526,25465.086465374035,0.356,2.04,1.32,0.353,15131766.7,13036278.803002898,0.138,15131766.7,13036278.07,0.138
50,5,heuristic_fw,5,piece-wise,0,0.04,6,39526,25213.485678024746,0.362,2.04,1.3,0.363,15131766.7,13034951.729093391,0.139,15131766.7,13034793.14,0.139
50,5,heuristic_fw,10,piece-wise,0,0.06,4,39526,25429.17799727125,0.357,2.04,1.31,0.358,15131766.7,13033871.0844376,0.139,15131766.7,13031839.87,0.139
50,5,heuristic_fw,50,piece-wise,0,0.044,5,39526,25907.713793364663,0.345,2.04,1.34,0.343,15131766.7,13038455.49898128,0.138,15131766.7,13038249.85,0.138
50,5,heuristic_fw,100,piece-wise,0,0.035,6,39526,25671.44722082338,0.351,2.04,1.33,0.348,15131766.7,13042781.077939302,0.138,15131766.7,13041947.35,0.138
50,5,heuristic_fw,500,piece-wise,0,0.047,3,39526,27848.99886613026,0.295,2.04,1.44,0.294,15131766.7,13075080.697999999,0.136,15131766.7,13066462.01,0.136
50,5,heuristic_fw,1000,piece-wise,0,0.042,3,39526,27462.85405705228,0.305,2.04,1.42,0.304,15131766.7,13117502.495,0.133,15131766.7,13087188.94,0.135
50,5,heuristic_fw,5000,piece-wise,0,0.019,3,39526,32009.16514318883,0.19,2.04,1.65,0.191,15131766.7,13404062.57,0.114,15131766.7,13283272.13,0.122
50,5,heuristic_fw,10000,piece-wise,0,0.012,3,39526,33970.753911129104,0.141,2.04,1.76,0.137,15131766.7,13647995.35,0.098,15131766.7,13476291.07,0.109
50,5,optimal,0,piece-wise,0,5.323,19,39526,261773.0,-5.623,2.04,13.52,-5.627,15131766.7,1279386091.5,-83.55,15131766.7,1279386091.5,-83.55
50,5,optimal,1,piece-wise,0,20.38,6,39526,63968.0,-0.618,2.04,3.3,-0.618,15131766.7,88723540.3,-4.863,15131766.7,88723032.3,-4.863
50,5,optimal,5,piece-wise,0,14.564,7,39526,70910.0,-0.794,2.04,3.66,-0.794,15131766.7,115987207.8,-6.665,15131766.7,115981977.8,-6.665
50,5,optimal,10,piece-wise,0,14.082,5,39526,46513.0,-0.177,2.04,2.4,-0.176,15131766.7,40197688.4,-1.657,15131766.7,40192488.4,-1.656
50,5,optimal,50,piece-wise,0,11.4,5,39526,62565.0,-0.583,2.04,3.23,-0.583,15131766.7,79304638.2,-4.241,15131766.7,79288638.2,-4.24
50,5,optimal,100,piece-wise,0,11.17,4,39526,68515.0,-0.733,2.04,3.54,-0.735,15131766.7,97389908.5,-5.436,15131766.7,97340308.5,-5.433
50,5,optimal,500,piece-wise,0,10.248,5,39526,40715.0,-0.03,2.04,2.1,-0.029,15131766.7,17231055.7,-0.139,15131766.7,17184555.7,-0.136
50,5,optimal,1000,piece-wise,0,10.537,3,39526,37823.0,0.043,2.04,1.95,0.044,15131766.7,13813313.8,0.087,15131766.7,13751313.8,0.091
50,5,optimal,5000,piece-wise,0,10.075,4,39526,37823.0,0.043,2.04,1.95,0.044,15131766.7,14290991.5,0.056,15131766.7,13995991.5,0.075
50,5,optimal,10000,piece-wise,0,10.093,4,39526,42300.0,-0.07,2.04,2.19,-0.074,15131766.7,20942846.0,-0.384,15131766.7,20292846.0,-0.341
