,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,2570.469,22,8000,5,1,piece-wise,4057158,99927131.0,-23.63,1.26,31.08,-23.667,2535428860.0,30652127836.0,-11.09,2535428860.0,30641961742.0,-11.086
optimal_fw,0.005,22,8000,5,1,piece-wise,4057158,3505754.1864198223,0.136,1.26,1.09,0.135,2535428860.0,2312917525.229734,0.088,2535428860.0,2312909835.82,0.088
