,0,1,2,3,4,5,6,7
cost,66182191.6,57980868.76,55378875.79,54911547.72,54806207.38,54733533.58,54678429.49,54678429.49
inconvenient,0.0,224770.19999999995,159467.66939999998,69139.4661502,27712.5317446956,25180.111769872005,20035.837541062814,20035.837541062814
objective,66182191.6,58205638.96,55538343.4594,54980687.1861502,54833919.9117447,54758713.69176987,54698465.32754107,54698465.32754107
total_demand,3855611.0,3855611.000000001,3855611.0000000005,3855611.0,3855610.9999999995,3855611.000000001,3855610.9999999995,3855610.9999999995
PAR,1.67,1.47,1.33,1.24,1.21,1.19,1.16,1.16
max_demand,133750.0,118188.48326936888,106557.46061597874,99623.88027299222,97454.25185749942,95243.61940602213,93179.14717203777,93179.14717203777
step_size,1.0,0.12299999999999997,0.10299999999999998,0.06699999999999999,0.022,0.023,0.022,0.0
run_time,0.0,0.005057096481323242,0.003910064697265625,0.0029039382934570312,0.001280069351196289,0.0012788772583007812,0.0011680126190185547,0.0005478858947753906
