,average_run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.104,8,80,10,10,piece-wise,108026,407048.0,-2.768,1.77,6.68,-2.774,50549809.1,178603442.9,-2.533,50549809.1,178029242.9,-2.522
heuristic_fw,0.002,8,80,10,10,piece-wise,108026,70930.98050123651,0.343,1.77,1.16,0.345,50549809.1,41304203.98195907,0.183,50549809.1,41297752.1,0.183
