,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,2996.6,21,10000,5,1,piece-wise,4967917,126023094.0,-24.367,1.23,31.15,-24.325,3321163694.4,39486719825.6,-10.889,3321163694.4,39475759613.6,-10.886
optimal_fw,0.004,21,10000,5,1,piece-wise,4967917,4353301.809147984,0.124,1.23,1.08,0.122,3321163694.4,2974207795.856608,0.104,3321163694.4,2974198475.34,0.104
