,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.03,9,50,10,10,piece-wise,57075,120575.0,-1.113,1.81,3.83,-1.116,31041962.0,101734328.5,-2.277,31041962.0,101252528.5,-2.262
heuristic_fw,0.001,9,50,10,10,piece-wise,57075,37399.02997135801,0.345,1.81,1.19,0.343,31041962.0,21448081.697886255,0.309,31041962.0,21442491.74,0.309
