,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.069,7,10,10,piece-wise,138389,413524.0,-1.988,1.85,5.53,-1.989,62505830.5,242870587.5,-2.886,62505830.5,242212887.5,-2.875
heuristic_fw,0.001,7,10,10,piece-wise,138389,89608.70841106238,0.352,1.85,1.2,0.351,62505830.5,50667004.23116427,0.189,62505830.5,50651268.5,0.19
