,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
optimal,5.115,14,5,0,piece-wise,45003,525137.0,-1066.90%,1.96,22.82,-1064.30%,18388293.8,15557828.0,15.40%,18388293.8,15557828.0,15.40%
optimal_fw,0.001,14,5,0,piece-wise,45003,32292.391954808383,28.20%,1.96,1.4,28.60%,18388293.8,15585695.56,15.20%,18388293.8,15585695.56,15.20%
heuristic,0.001,4,5,0,piece-wise,45003,76621.0,-70.30%,1.96,3.33,-69.90%,18388293.8,15465660.0,15.90%,18388293.8,15465660.0,15.90%
heuristic_fw,0.002,4,5,0,piece-wise,45003,28656.96074188922,36.30%,1.96,1.25,36.20%,18388293.8,15501459.67,15.70%,18388293.8,15501459.67,15.70%
