,Average run_time,No_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.085,13,100,10,10,piece-wise,116095,483263.0,-3.163,1.64,6.84,-3.171,62265789.2,291291596.9,-3.678,62265789.2,289808996.9,-3.654
heuristic_fw,0.001,13,100,10,10,piece-wise,116095,77778.97984792573,0.33,1.64,1.1,0.329,62265789.2,48245152.88043474,0.225,62265789.2,48218554.39,0.226
