,0,1,2,3,4,5,6,7,8,9,10,11,12,13
objective,62265789.2,52941308.58,50742978.283,49589162.235768996,49131074.49543232,48787368.89890073,48576127.72673628,48447539.47078507,48382800.1899898,48342350.48213011,48306454.39800657,48283150.68751192,48245152.88043474,48245152.88043474
inconvenient,0.0,223200.59999999995,68746.473,77176.515769,69621.245432316,52390.098900733574,55978.2267362758,37410.000785065655,18266.169989794147,15399.272130112262,15008.408006568765,15177.707511927743,26598.49043473759,26598.49043473759
cost,62265789.2,52718107.98,50674231.81,49511985.72,49061453.25,48734978.8,48520149.5,48410129.47,48364534.02,48326951.21,48291445.99,48267972.98,48218554.39,48218554.39
PAR,1.64,1.47,1.4,1.34,1.29,1.25,1.21,1.18,1.16,1.15,1.14,1.13,1.1,1.1
max_demand,116095.0,103518.6498148955,98938.2941712731,94369.37933749669,91012.59294598634,88042.09381224698,85171.84328390082,83226.44323968458,82149.92047756868,81252.28835231543,80370.58018043997,79497.14079845513,77778.97984792573,77778.97984792573
step_size,1.0,0.11399999999999998,0.045,0.047,0.036000000000000004,0.033,0.033,0.023,0.013,0.011,0.011,0.011,0.022,0.0
total_demand,3389450.0,3389450.000000001,3389450.0,3389450.0000000005,3389449.999999999,3389450.0000000005,3389449.999999999,3389450.000000001,3389450.0,3389449.9999999995,3389449.9999999986,3389449.999999999,3389449.9999999995,3389449.9999999995
run_time,0.0,0.002454042434692383,0.0011661052703857422,0.001386880874633789,0.0011289119720458984,0.001238107681274414,0.0011281967163085938,0.0008630752563476562,0.0007750988006591797,0.00045418739318847656,0.00045800209045410156,0.0004420280456542969,0.0010921955108642578,0.0003447532653808594
