,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
heuristic,0.085,12,10,10,piece-wise,120792,443641.0,-2.673,1.59,5.84,-2.673,80407384.0,316803917.8,-2.94,80407384.0,315377917.8,-2.922
heuristic_fw,0.001,12,10,10,piece-wise,120792,81252.18228777214,0.327,1.59,1.07,0.327,80407384.0,52140288.32117767,0.352,80407384.0,52125038.5,0.352
